geocode,geocode_desc,total,owned_loan,owned_clear,rented
37001,ALAMANCE,146902,73925,25592,47385
37003,ALEXANDER,36037,18591,9347,8099
37005,ALLEGHANY,11044,4841,3360,2843
37007,ANSON,24464,9933,6770,7761
37009,ASHE,26912,12018,8919,5975
37011,AVERY,15383,6118,5573,3692
37013,BEAUFORT,47256,20660,13072,13524
37015,BERTIE,19958,8612,5905,5441
37017,BLADEN,34679,14311,10837,9531
37019,BRUNSWICK,106588,56123,24138,26327
37021,BUNCOMBE,230645,108603,47573,74469
37023,BURKE,87560,42780,21022,23758
37025,CABARRUS,176531,109624,21691,45216
37027,CALDWELL,82061,41138,18445,22478
37029,CAMDEN,9963,6442,1821,1700
37031,CARTERET,65482,31551,15621,18310
37033,CASWELL,22351,11128,6001,5222
37035,CATAWBA,151950,81189,27413,43348
37037,CHATHAM,62727,34311,14287,14129
37039,CHEROKEE,27008,11968,9612,5428
37041,CHOWAN,14520,6564,3452,4504
37043,CLAY,10496,4982,3314,2200
37045,CLEVELAND,96028,45752,20214,30062
37047,COLUMBUS,55173,22805,16581,15787
37049,CRAVEN,98566,46581,17370,34615
37051,CUMBERLAND,309274,143699,31778,133797
37053,CURRITUCK,23412,14920,3905,4587
37055,DARE,33768,17775,5586,10407
37057,DAVIDSON,161187,85330,31752,44105
37059,DAVIE,40875,24156,8772,7947
37061,DUPLIN,57826,21718,17865,18243
37063,DURHAM,257466,122109,21378,113979
37065,EDGECOMBE,55122,23151,10792,21179
37067,FORSYTH,340819,175622,45926,119271
37069,FRANKLIN,58979,32742,11030,15207
37071,GASTON,202769,105492,32063,65214
37073,GATES,12136,6700,3208,2228
37075,GRAHAM,8768,3342,3853,1573
37077,GRANVILLE,52968,29749,9639,13580
37079,GREENE,19042,8412,4680,5950
37081,GUILFORD,472914,243079,54754,175081
37083,HALIFAX,53275,21388,12589,19298
37085,HARNETT,111298,55960,17417,37921
37087,HAYWOOD,58223,26712,16752,14759
37089,HENDERSON,105441,53546,25672,26223
37091,HERTFORD,22372,9451,5545,7376
37093,HOKE,46282,25856,6476,13950
37095,HYDE,4980,1903,1723,1354
37097,IREDELL,158145,92295,24539,41311
37099,JACKSON,36697,14127,10611,11959
37101,JOHNSTON,167107,99688,22081,45338
37103,JONES,10062,4776,2838,2448
37105,LEE,56867,28124,10115,18628
37107,LENOIR,58253,23993,12379,21881
37109,LINCOLN,77586,45192,14077,18317
37111,MCDOWELL,43330,19986,12113,11231
37113,MACON,33483,16074,9312,8097
37115,MADISON,19736,8035,7246,4455
37117,MARTIN,24349,9938,6573,7838
37119,MECKLENBURG,903613,498414,69190,336009
37121,MITCHELL,15375,6381,5459,3535
37123,MONTGOMERY,26705,11645,7917,7143
37125,MOORE,87399,45088,20955,21356
37127,NASH,93630,44825,16790,32015
37129,NEW HANOVER,195969,97637,23721,74611
37131,NORTHAMPTON,21347,9026,6415,5906
37133,ONSLOW,159967,74609,17407,67951
37135,ORANGE,124244,62021,17092,45131
37137,PAMLICO,12439,5500,4182,2757
37139,PASQUOTANK,37598,18790,5912,12896
37141,PENDER,51127,28207,10777,12143
37143,PERQUIMANS,13369,6784,3242,3343
37145,PERSON,39022,21054,7417,10551
37147,PITT,161622,72323,20581,68718
37149,POLK,20180,9084,6304,4792
37151,RANDOLPH,140454,73730,29244,37480
37153,RICHMOND,45479,18635,11158,15686
37155,ROBESON,130063,46017,39189,44857
37157,ROCKINGHAM,92588,45273,20132,27183
37159,ROWAN,134142,68016,25383,40743
37161,RUTHERFORD,66587,30890,17422,18275
37163,SAMPSON,62344,27354,15958,19032
37165,SCOTLAND,34427,14665,7514,12248
37167,STANLY,58534,29625,12888,16021
37169,STOKES,46945,25558,11660,9727
37171,SURRY,72803,35010,18640,19153
37173,SWAIN,13737,5191,5083,3463
37175,TRANSYLVANIA,32020,14201,9962,7857
37177,TYRRELL,3775,1502,1207,1066
37179,UNION,199242,138808,22932,37502
37181,VANCE,44576,18155,9223,17198
37183,WAKE,880010,522592,77135,280283
37185,WARREN,19804,8270,6005,5529
37187,WASHINGTON,13077,4987,3993,4097
37189,WATAUGA,45756,17524,9363,18869
37191,WAYNE,119404,53612,21344,44448
37193,WILKES,68373,31499,19763,17111
37195,WILSON,79641,35562,12641,31438
37197,YADKIN,38102,18612,10297,9193
37199,YANCEY,17653,7004,6550,4099
