geocode,geocode_desc,total,owned_loan,owned_clear,rented
37001,ALAMANCE,15688,6533,2259,6896
37003,ALEXANDER,1440,483,261,696
37005,ALLEGHANY,929,248,116,565
37007,ANSON,474,98,54,322
37009,ASHE,1090,227,120,743
37011,AVERY,660,61,48,551
37013,BEAUFORT,2984,732,840,1412
37015,BERTIE,215,37,16,162
37017,BLADEN,2320,576,396,1348
37019,BRUNSWICK,4984,1462,522,3000
37021,BUNCOMBE,12999,4031,2274,6694
37023,BURKE,4220,1201,275,2744
37025,CABARRUS,15821,6582,1371,7868
37027,CALDWELL,3464,1420,275,1769
37029,CAMDEN,157,95,13,49
37031,CARTERET,1971,544,397,1030
37033,CASWELL,562,197,84,281
37035,CATAWBA,12259,4018,1417,6824
37037,CHATHAM,7911,2614,1487,3810
37039,CHEROKEE,566,198,139,229
37041,CHOWAN,416,94,56,266
37043,CLAY,221,94,27,100
37045,CLEVELAND,2352,791,334,1227
37047,COLUMBUS,2447,515,399,1533
37049,CRAVEN,5238,1764,621,2853
37051,CUMBERLAND,26278,11325,1267,13686
37053,CURRITUCK,549,301,41,207
37055,DARE,2095,367,190,1538
37057,DAVIDSON,9854,3805,622,5427
37059,DAVIE,2369,1133,180,1056
37061,DUPLIN,11749,2678,3300,5771
37063,DURHAM,34653,8966,1040,24647
37065,EDGECOMBE,1947,497,677,773
37067,FORSYTH,39897,12679,2734,24484
37069,FRANKLIN,4447,1749,577,2121
37071,GASTON,11473,3904,768,6801
37073,GATES,124,60,17,47
37075,GRAHAM,159,24,59,76
37077,GRANVILLE,3515,1491,744,1280
37079,GREENE,2707,861,732,1114
37081,GUILFORD,32304,11766,2060,18478
37083,HALIFAX,986,261,74,651
37085,HARNETT,11279,4440,1132,5707
37087,HAYWOOD,1747,647,157,943
37089,HENDERSON,9686,3092,1264,5330
37091,HERTFORD,379,79,59,241
37093,HOKE,5282,2427,347,2508
37095,HYDE,393,52,41,300
37097,IREDELL,9984,4380,728,4876
37099,JACKSON,1701,303,129,1269
37101,JOHNSTON,20652,7778,1694,11180
37103,JONES,356,139,50,167
37105,LEE,10208,3924,1245,5039
37107,LENOIR,3646,788,970,1888
37109,LINCOLN,4933,2114,377,2442
37111,MCDOWELL,2135,796,368,971
37113,MACON,2055,503,174,1378
37115,MADISON,308,77,43,188
37117,MARTIN,739,164,109,466
37119,MECKLENBURG,108055,41975,3417,62663
37121,MITCHELL,586,128,66,392
37123,MONTGOMERY,3830,1188,1049,1593
37125,MOORE,4855,1474,870,2511
37127,NASH,5629,1926,1335,2368
37129,NEW HANOVER,9809,2688,779,6342
37131,NORTHAMPTON,262,78,36,148
37133,ONSLOW,13885,5326,489,8070
37135,ORANGE,9885,2470,1323,6092
37137,PAMLICO,320,84,87,149
37139,PASQUOTANK,1384,448,106,830
37141,PENDER,2883,863,399,1621
37143,PERQUIMANS,199,51,24,124
37145,PERSON,1464,509,265,690
37147,PITT,8519,2725,1637,4157
37149,POLK,1010,259,107,644
37151,RANDOLPH,13955,5095,1746,7114
37153,RICHMOND,2516,624,473,1419
37155,ROBESON,10140,1793,2244,6103
37157,ROCKINGHAM,4663,1420,814,2429
37159,ROWAN,10004,3708,1239,5057
37161,RUTHERFORD,2132,857,349,926
37163,SAMPSON,10097,2754,2250,5093
37165,SCOTLAND,585,238,105,242
37167,STANLY,1845,543,122,1180
37169,STOKES,1084,535,169,380
37171,SURRY,6701,2022,1472,3207
37173,SWAIN,336,100,64,172
37175,TRANSYLVANIA,860,193,92,575
37177,TYRRELL,221,38,69,114
37179,UNION,19856,10005,851,9000
37181,VANCE,2883,833,541,1509
37183,WAKE,82920,30343,4789,47788
37185,WARREN,567,162,103,302
37187,WASHINGTON,391,64,92,235
37189,WATAUGA,1417,241,138,1038
37191,WAYNE,11522,3200,2314,6008
37193,WILKES,3464,958,500,2006
37195,WILSON,7365,2274,1133,3958
37197,YADKIN,3651,1207,619,1825
37199,YANCEY,753,144,82,527
