geocode,total,owned_loan,owned_clear,rented
37001,15688,6533,2259,6896
37003,1440,483,261,696
37005,929,248,116,565
37007,474,98,54,322
37009,1090,227,120,743
37011,660,61,48,551
37013,2984,732,840,1412
37015,215,37,16,162
37017,2320,576,396,1348
37019,4984,1462,522,3000
37021,12999,4031,2274,6694
37023,4220,1201,275,2744
37025,15821,6582,1371,7868
37027,3464,1420,275,1769
37029,157,95,13,49
37031,1971,544,397,1030
37033,562,197,84,281
37035,12259,4018,1417,6824
37037,7911,2614,1487,3810
37039,566,198,139,229
37041,416,94,56,266
37043,221,94,27,100
37045,2352,791,334,1227
37047,2447,515,399,1533
37049,5238,1764,621,2853
37051,26278,11325,1267,13686
37053,549,301,41,207
37055,2095,367,190,1538
37057,9854,3805,622,5427
37059,2369,1133,180,1056
37061,11749,2678,3300,5771
37063,34653,8966,1040,24647
37065,1947,497,677,773
37067,39897,12679,2734,24484
37069,4447,1749,577,2121
37071,11473,3904,768,6801
37073,124,60,17,47
37075,159,24,59,76
37077,3515,1491,744,1280
37079,2707,861,732,1114
37081,32304,11766,2060,18478
37083,986,261,74,651
37085,11279,4440,1132,5707
37087,1747,647,157,943
37089,9686,3092,1264,5330
37091,379,79,59,241
37093,5282,2427,347,2508
37095,393,52,41,300
37097,9984,4380,728,4876
37099,1701,303,129,1269
37101,20652,7778,1694,11180
37103,356,139,50,167
37105,10208,3924,1245,5039
37107,3646,788,970,1888
37109,4933,2114,377,2442
37111,2135,796,368,971
37113,2055,503,174,1378
37115,308,77,43,188
37117,739,164,109,466
37119,108055,41975,3417,62663
37121,586,128,66,392
37123,3830,1188,1049,1593
37125,4855,1474,870,2511
37127,5629,1926,1335,2368
37129,9809,2688,779,6342
37131,262,78,36,148
37133,13885,5326,489,8070
37135,9885,2470,1323,6092
37137,320,84,87,149
37139,1384,448,106,830
37141,2883,863,399,1621
37143,199,51,24,124
37145,1464,509,265,690
37147,8519,2725,1637,4157
37149,1010,259,107,644
37151,13955,5095,1746,7114
37153,2516,624,473,1419
37155,10140,1793,2244,6103
37157,4663,1420,814,2429
37159,10004,3708,1239,5057
37161,2132,857,349,926
37163,10097,2754,2250,5093
37165,585,238,105,242
37167,1845,543,122,1180
37169,1084,535,169,380
37171,6701,2022,1472,3207
37173,336,100,64,172
37175,860,193,92,575
37177,221,38,69,114
37179,19856,10005,851,9000
37181,2883,833,541,1509
37183,82920,30343,4789,47788
37185,567,162,103,302
37187,391,64,92,235
37189,1417,241,138,1038
37191,11522,3200,2314,6008
37193,3464,958,500,2006
37195,7365,2274,1133,3958
37197,3651,1207,619,1825
37199,753,144,82,527
