geocode,total,owned_loan,owned_clear,rented
37001,100031,54801,20156,25074
37003,32440,17069,8694,6677
37005,9844,4481,3194,2169
37007,11904,5463,3959,2482
37009,25381,11579,8702,5100
37011,14475,5964,5477,3034
37013,31742,15824,9509,6409
37015,7208,3279,2698,1231
37017,19351,8643,6687,4021
37019,87274,48071,20695,18508
37021,197905,97726,43216,56963
37023,74563,37290,19545,17728
37025,128594,85960,18364,24270
37027,73555,37823,17491,18241
37029,8226,5476,1443,1307
37031,58085,29161,14103,14821
37033,14143,7401,4131,2611
37035,120380,68359,24280,27741
37037,45269,27045,10790,7434
37039,25105,11263,8985,4857
37041,8976,4692,2443,1841
37043,10073,4802,3248,2023
37045,72144,37036,17465,17643
37047,34364,15540,11262,7562
37049,67794,35586,13113,19095
37051,150572,76988,20891,52693
37053,21171,13766,3542,3863
37055,30299,16827,5229,8243
37057,133810,74540,29598,29672
37059,35339,21389,8107,5843
37061,30995,13879,10603,6513
37063,111466,66582,15083,29801
37065,21014,10129,5971,4914
37067,204158,123254,37145,43759
37069,38344,23710,7555,7079
37071,155878,87460,28574,39844
37073,7757,4572,1978,1207
37075,7942,3096,3489,1357
37077,32467,20248,6404,5815
37079,9396,4868,2601,1927
37081,262678,157864,43817,60997
37083,21453,10468,5798,5187
37085,73467,40465,12935,20067
37087,55054,25498,16323,13233
37089,90345,47968,23612,18765
37091,7863,3769,2349,1745
37093,19752,12518,2629,4605
37095,3234,1337,1262,635
37097,124917,78053,21592,25272
37099,29940,12229,8592,9119
37101,118898,78020,18285,22593
37103,6287,3203,1873,1211
37105,34420,19262,7579,7579
37107,30360,15237,8403,6720
37109,67390,40687,13060,13643
37111,39218,18385,11362,9471
37113,30573,15204,9001,6368
37115,19029,7826,7085,4118
37117,12859,5969,4339,2551
37119,465236,306323,51683,107230
37121,14564,6175,5336,3053
37123,17430,8435,5450,3545
37125,68721,38045,17570,13106
37127,51579,28986,11642,10951
37129,152540,83524,20378,48638
37131,8467,4076,2943,1448
37133,113463,55869,14553,43041
37135,89677,49783,13343,26551
37137,9717,4512,3291,1914
37139,22072,12739,4154,5179
37141,38492,22945,7906,7641
37143,9682,5295,2561,1826
37145,26436,15328,5731,5377
37147,93269,49271,14295,29703
37149,18059,8376,5860,3823
37151,115590,63932,26112,25546
37153,27399,12622,7687,7090
37155,36476,15813,10965,9698
37157,68962,36091,16673,16198
37159,100993,56078,21840,23075
37161,56899,27442,15827,13630
37163,33644,16972,9854,6818
37165,16414,8256,4142,4016
37167,49135,26287,11675,11173
37169,43419,23849,10893,8677
37171,62475,31562,16549,14364
37173,9038,3722,3027,2289
37175,29583,13445,9606,6532
37177,2223,1056,683,484
37179,150734,111940,19683,19111
37181,19116,9489,5307,4320
37183,558279,377136,60784,120359
37185,7708,3577,2722,1409
37187,6027,2782,2320,925
37189,42792,16818,9066,16908
37191,67789,35786,14959,17044
37193,61477,29218,18609,13650
37195,39863,22023,8723,9117
37197,32962,16819,9365,6778
37199,16627,6781,6380,3466
