geocode,total,owned_loan,owned_clear,rented
37001,59960,27247,12857,19856
37003,14425,6668,4520,3237
37005,4778,1843,1733,1202
37007,9755,3524,3180,3051
37009,11755,4638,4514,2603
37011,6664,2343,2754,1567
37013,19941,7842,6334,5765
37015,8359,3246,2847,2266
37017,14430,5304,5136,3990
37019,46297,23321,12398,10578
37021,100412,42098,23883,34431
37023,35804,15397,10475,9932
37025,65666,37760,10621,17285
37027,33388,14859,9190,9339
37029,3675,2155,864,656
37031,28870,12641,7961,8268
37033,9190,4093,2895,2202
37035,60887,29180,13677,18030
37037,25845,12977,7018,5850
37039,11753,4647,4734,2372
37041,6059,2511,1684,1864
37043,4660,1968,1704,988
37045,38555,16570,9930,12055
37047,22489,8247,7738,6504
37049,40299,17718,8610,13971
37051,122431,52486,15881,54064
37053,8880,5270,1893,1717
37055,14335,7214,2904,4217
37057,64515,30931,15901,17683
37059,16245,8765,4420,3060
37061,22495,7765,7781,6949
37063,109348,48169,11130,50049
37065,21680,8464,5013,8203
37067,141163,66326,23862,50975
37069,23023,11759,5270,5994
37071,79867,38181,15692,25994
37073,4665,2313,1493,859
37075,3701,1209,1757,735
37077,20628,10604,4568,5456
37079,7313,2945,2136,2232
37081,196628,91279,28290,77059
37083,21970,7993,6075,7902
37085,41594,19582,8235,13777
37087,25563,10404,8548,6611
37089,45448,20774,13369,11305
37091,9334,3544,2707,3083
37093,16532,8935,2751,4846
37095,2119,709,848,562
37097,61215,32555,12180,16480
37099,16446,5458,5164,5824
37101,61909,34588,10730,16591
37103,4167,1781,1343,1043
37105,22058,9895,4779,7384
37107,24327,9108,6049,9170
37109,30343,16128,6944,7271
37111,17838,7270,5842,4726
37113,14591,6325,4959,3307
37115,8494,3019,3495,1980
37117,10318,3790,3229,3299
37119,362213,184971,34617,142625
37121,6685,2409,2722,1554
37123,10544,4096,3614,2834
37125,37540,17320,10726,9494
37127,37782,16428,8062,13292
37129,86046,38962,12467,34617
37131,9193,3475,3209,2509
37133,60092,25865,8467,25760
37135,51457,22685,8245,20527
37137,5490,2241,2096,1153
37139,14956,6842,2911,5203
37141,20333,10406,5313,4614
37143,5598,2575,1663,1360
37145,15826,7731,3695,4400
37147,67577,27068,9836,30673
37149,8989,3543,3250,2196
37151,55373,26203,14207,14963
37153,18430,6859,5243,6328
37155,47997,15504,15832,16661
37157,38693,16871,10149,11673
37159,53140,24421,12566,16153
37161,27466,11263,8506,7697
37163,24005,9500,7188,7317
37165,13614,5252,3426,4936
37167,23589,10626,6515,6448
37169,19416,9368,5780,4268
37171,29914,12623,9123,8168
37173,5672,1906,2296,1470
37175,14394,5696,5177,3521
37177,1595,576,579,440
37179,67864,44484,10666,12714
37181,17395,6588,4177,6630
37183,345645,187849,37305,120491
37185,8321,3179,2862,2280
37187,5526,1924,1929,1673
37189,20403,6888,4695,8820
37191,47831,19525,10303,18003
37193,28360,11493,9610,7257
37195,31962,12998,6199,12765
37197,15486,6745,5049,3692
37199,7644,2612,3225,1807
