geocode,geocode_desc,vacant_total,for_rent,rented_unoccupied,for_sale,sold,seasonal,migrant,other
37001,ALAMANCE,6616,2515,76,1205,205,252,3,2360
37003,ALEXANDER,1764,365,19,183,64,329,3,801
37005,ALLEGHANY,3316,210,10,175,38,2388,30,465
37007,ANSON,1821,446,22,246,85,236,3,783
37009,ASHE,5587,354,18,268,49,4270,10,618
37011,AVERY,7226,450,15,239,33,6004,8,477
37013,BEAUFORT,4747,476,45,469,51,2343,7,1356
37015,BERTIE,1463,297,19,79,20,395,5,648
37017,BLADEN,3288,534,78,128,142,1380,78,948
37019,BRUNSWICK,31185,3135,103,2165,228,23941,10,1603
37021,BUNCOMBE,12953,3387,203,2024,349,3826,18,3146
37023,BURKE,5075,1550,47,634,141,882,3,1818
37025,CABARRUS,6271,2384,70,1250,201,319,2,2045
37027,CALDWELL,4271,1088,51,460,131,905,1,1635
37029,CAMDEN,429,94,11,74,47,82,1,120
37031,CARTERET,19309,1740,69,850,146,15402,4,1098
37033,CASWELL,1429,260,13,134,48,308,18,648
37035,CATAWBA,6999,2294,81,1138,267,1309,3,1907
37037,CHATHAM,2908,592,25,468,171,311,6,1335
37039,CHEROKEE,5762,368,24,547,45,3669,1,1108
37041,CHOWAN,1230,185,23,138,27,393,4,460
37043,CLAY,2480,206,13,220,35,1568,1,437
37045,CLEVELAND,4818,1861,47,642,194,300,28,1746
37047,COLUMBUS,3553,845,85,267,162,698,22,1474
37049,CRAVEN,4703,1493,103,824,165,737,18,1363
37051,CUMBERLAND,13093,6367,307,2015,384,437,25,3558
37053,CURRITUCK,5573,251,30,314,106,4591,2,279
37055,DARE,19157,3433,49,411,34,14742,5,483
37057,DAVIDSON,8140,2691,67,1121,281,1440,7,2533
37059,DAVIE,1993,405,25,369,169,142,2,881
37061,DUPLIN,3233,838,32,274,133,233,66,1657
37063,DURHAM,10869,5700,166,1880,395,439,3,2286
37065,EDGECOMBE,3158,1113,53,286,72,214,32,1388
37067,FORSYTH,15709,7384,286,2939,374,664,9,4053
37069,FRANKLIN,3554,495,26,426,87,1116,27,1377
37071,GASTON,8819,3459,121,1549,254,293,0,3143
37073,GATES,543,62,12,68,31,68,0,302
37075,GRAHAM,2229,192,13,100,23,1524,0,377
37077,GRANVILLE,2199,548,28,359,80,267,36,881
37079,GREENE,900,196,17,74,37,86,47,443
37081,GUILFORD,21389,10362,295,3731,604,805,12,5580
37083,HALIFAX,3811,769,38,269,95,759,18,1863
37085,HARNETT,5137,1808,77,829,151,267,23,1982
37087,HAYWOOD,9391,1207,56,734,106,5679,6,1603
37089,HENDERSON,9262,1594,87,1295,186,4050,102,1948
37091,HERTFORD,1301,330,21,133,53,207,0,557
37093,HOKE,1679,539,39,463,53,85,4,496
37095,HYDE,1228,407,8,30,7,522,34,220
37097,IREDELL,7798,2490,95,1367,259,1583,10,1994
37099,JACKSON,9502,816,30,510,85,6860,9,1192
37101,JOHNSTON,5773,1798,68,1133,168,398,58,2150
37103,JONES,671,92,9,58,29,77,6,400
37105,LEE,2078,668,40,402,70,151,1,746
37107,LENOIR,3110,986,39,352,80,171,38,1444
37109,LINCOLN,3298,893,45,516,165,530,5,1144
37111,MCDOWELL,2970,458,33,251,66,1174,3,985
37113,MACON,10654,562,24,615,68,8159,50,1176
37115,MADISON,2114,226,20,139,72,1012,5,640
37117,MARTIN,1386,342,17,109,26,118,10,764
37119,MECKLENBURG,36297,18261,599,7530,943,2407,11,6546
37121,MITCHELL,2028,195,15,144,24,1189,6,455
37123,MONTGOMERY,5370,317,15,238,47,3912,5,836
37125,MOORE,6400,1247,72,839,198,1886,5,2153
37127,NASH,4504,1743,47,651,162,304,69,1528
37129,NEW HANOVER,15390,4651,181,1922,321,6690,9,1616
37131,NORTHAMPTON,2481,211,16,142,50,1124,8,930
37133,ONSLOW,8134,1633,155,742,182,3914,16,1492
37135,ORANGE,4140,1732,96,631,150,381,9,1141
37137,PAMLICO,2044,177,11,158,26,1202,13,457
37139,PASQUOTANK,1877,600,18,341,131,162,0,625
37141,PENDER,6391,905,115,488,146,3778,26,933
37143,PERQUIMANS,1388,180,5,116,36,564,1,486
37145,PERSON,2367,493,17,271,52,741,36,757
37147,PITT,7413,4042,108,1092,205,329,29,1608
37149,POLK,2443,321,20,260,43,1199,1,599
37151,RANDOLPH,5668,1900,109,824,275,331,19,2210
37153,RICHMOND,2308,666,35,242,102,188,4,1071
37155,ROBESON,4754,1760,137,413,322,307,11,1804
37157,ROCKINGHAM,5003,1618,63,673,136,391,32,2090
37159,ROWAN,7071,2242,79,924,269,894,4,2659
37161,RUTHERFORD,6412,1107,70,543,173,2689,5,1825
37163,SAMPSON,3229,705,41,233,86,295,155,1714
37165,SCOTLAND,1579,518,24,153,52,141,3,688
37167,STANLY,3521,895,30,387,108,815,1,1285
37169,STOKES,2508,423,28,341,72,442,23,1179
37171,SURRY,3753,894,37,460,139,537,16,1670
37173,SWAIN,3051,441,25,120,39,1948,8,470
37175,TRANSYLVANIA,4769,425,21,417,36,3162,9,699
37177,TYRRELL,473,33,6,32,12,196,9,185
37179,UNION,5006,1188,64,1393,279,430,2,1650
37181,VANCE,2687,645,21,272,98,759,9,883
37183,WAKE,26191,11146,532,5904,1074,1932,27,5576
37185,WARREN,3485,225,32,145,52,2169,11,851
37187,WASHINGTON,965,221,19,86,65,225,1,348
37189,WATAUGA,11734,1029,62,612,95,8993,4,939
37191,WAYNE,5118,1868,60,684,145,194,40,2127
37193,WILKES,4705,1031,55,365,126,1222,13,1893
37195,WILSON,3549,1483,51,538,81,138,14,1244
37197,YADKIN,1855,462,19,183,53,137,14,987
37199,YANCEY,3388,344,18,236,58,2081,0,651
