geocode,geocode_desc,total,owned,rented
3700160,ABERDEEN,1526,926,600
3700500,AHOSKIE,1853,857,996
3700640,ALAMANCE,148,112,36
3700680,ALBEMARLE,6291,3977,2314
3701000,ALLIANCE,288,214,74
3701150,NA,399,332,67
3701380,ANDREWS,703,414,289
3701400,ANGIER,1356,775,581
3701420,ANSONVILLE,242,200,42
3701520,APEX,7397,5626,1771
3701640,ARAPAHOE,188,142,46
3701720,ARCHDALE,3743,2741,1002
3701900,NA,353,212,141
3702080,ASHEBORO,8756,4736,4020
3702140,ASHEVILLE,30690,17428,13262
3702240,ASHLEY HEIGHTS,120,95,25
3702320,ASKEWVILLE,75,59,16
3702460,ATKINSON,106,90,16
3702500,ATLANTIC BEACH,971,628,343
3702580,AULANDER,371,248,123
3702620,AURORA,265,146,119
3702700,AUTRYVILLE,97,65,32
3702760,AVERY CREEK,561,483,78
3702840,AYDEN,1936,1085,851
3702960,BADIN,494,354,140
3703020,BAILEY,274,200,74
3703100,BAKERSVILLE,168,99,69
3703150,BALD HEAD ISLAND,88,77,11
3703220,BALFOUR,481,352,129
3703500,BANNER ELK,215,109,106
3703640,BARKER HEIGHTS,482,345,137
3703665,BARKER TEN MILE,371,349,22
3703840,BATH,122,106,16
3703960,BAYBORO,301,220,81
3704015,BAYSHORE,967,884,83
3704180,BEAR GRASS,26,20,6
3704260,BEAUFORT,1780,998,782
3704510,BEECH MOUNTAIN,145,123,22
3704640,BELHAVEN,827,540,287
3704840,BELMONT,3348,2274,1074
3704950,BELVILLE,108,96,12
3704960,BELWOOD,373,315,58
3705040,BENSON,1230,586,644
3705049,BENT CREEK,552,466,86
3705135,BERMUDA RUN,734,698,36
3705220,BESSEMER CITY,2009,1329,680
3705340,BETHANIA,139,118,21
3705460,BETHEL,651,410,241
3705530,BETHLEHEM,1454,1216,238
3705660,BEULAVILLE,442,284,158
3705880,BILTMORE FOREST,588,545,43
3706000,BISCOE,535,355,180
3706080,BLACK CREEK,279,210,69
3706140,BLACK MOUNTAIN,3340,2344,996
3706240,BLADENBORO,762,466,296
3706500,BLOWING ROCK,663,481,182
3706660,BOARDMAN,79,57,22
3706720,NA,227,146,81
3706740,BOGUE,224,179,45
3706760,BOILING SPRING LAKES,1208,1056,152
3706800,BOILING SPRINGS,1117,840,277
3706820,BOLIVIA,58,46,12
3706860,BOLTON,198,161,37
3706980,BONNETSVILLE,148,80,68
3707080,BOONE,4374,1290,3084
3707140,BOONVILLE,476,339,137
3707220,BOSTIC,136,111,25
3707400,BOWMORE,60,44,16
3707720,BREVARD,2826,1862,964
3707765,BRICES CREEK,765,700,65
3707860,BRIDGETON,156,102,54
3708080,BROADWAY,400,326,74
3708110,BROGDEN,1030,767,263
3708140,BROOKFORD,200,135,65
3708420,BRUNSWICK,144,100,44
3708480,BRYSON CITY,588,342,246
3708760,BUIES CREEK,612,183,429
3708860,BUNN,162,94,68
3708960,BURGAW,954,546,408
3709060,BURLINGTON,18280,10856,7424
3709140,BURNSVILLE,748,400,348
3709360,BUTNER,1438,912,526
3709380,BUTTERS,108,94,14
3709530,CAJAH'S MOUNTAIN,996,734,262
3709540,CALABASH,377,282,95
3709760,CALYPSO,178,132,46
3709800,CAMERON,66,55,11
3710120,CANDOR,280,214,66
3710240,CANTON,1819,1282,537
3710260,CAPE CARTERET,545,481,64
3710500,CAROLINA BEACH,2296,1509,787
3710550,CAROLINA SHORES,766,747,19
3710620,CARRBORO,7570,2383,5187
3710680,CARTHAGE,653,477,176
3710740,CARY,34906,25416,9490
3710760,CASAR,132,95,37
3710800,CASHIERS,96,67,29
3710860,CASTALIA,132,110,22
3710880,CASTLE HAYNE,437,301,136
3710960,CASWELL BEACH,187,168,19
3710980,CATAWBA,270,213,57
3711340,CEDAR POINT,438,357,81
3711352,CEDAR ROCK,123,119,4
3711560,CENTERVILLE,41,35,6
3711620,CERRO GORDO,90,66,24
3711640,CHADBOURN,877,516,361
3711800,CHAPEL HILL,17808,7632,10176
3712000,CHARLOTTE,215449,123883,91566
3712340,CHERRYVILLE,2177,1561,616
3712460,CHIMNEY ROCK VILLAGE,74,45,29
3712480,CHINA GROVE,1388,1011,377
3712580,CHOCOWINITY,302,200,102
3712720,CLAREMONT,456,343,113
3712780,CLARKTON,285,184,101
3712860,CLAYTON,2768,1791,977
3712960,CLEMMONS,5291,4237,1054
3713000,CLEVELAND,295,220,75
3713240,CLINTON,3336,1837,1499
3713280,CLYDE,547,347,200
3713360,COATS,755,421,334
3713460,COFIELD,145,101,44
3713560,COLERAIN,103,81,22
3713940,COLUMBIA,341,185,156
3713980,COLUMBUS,414,276,138
3714060,COMO,35,25,10
3714100,CONCORD,20962,14179,6783
3714200,CONETOE,125,95,30
3714280,CONNELLY SPRINGS,695,561,134
3714340,CONOVER,2719,2006,713
3714400,CONWAY,328,215,113
3714460,COOLEEMEE,400,313,87
3714700,CORNELIUS,5113,3890,1223
3715020,COVE CITY,182,144,38
3715260,CRAMERTON,1169,866,303
3715320,CREEDMOOR,933,615,318
3715420,CRESWELL,118,71,47
3715440,CRICKET,862,607,255
3715580,CROSSNORE,96,67,29
3715880,CULLOWHEE,716,218,498
3716180,DALLAS,1324,697,627
3716240,DANBURY,47,41,6
3716400,DAVIDSON,2122,1683,439
3716860,DELWAY,88,53,35
3716980,DENTON,595,406,189
3717180,DILLSBORO,111,51,60
3717325,DOBBINS HEIGHTS,383,268,115
3717340,DOBSON,555,281,274
3717520,DORTCHES,329,245,84
3717660,DOVER,185,147,38
3717860,DREXEL,759,507,252
3718040,DUBLIN,108,72,36
3718300,DUNDARRACH,25,16,9
3718320,DUNN,3797,2115,1682
3719000,DURHAM,74981,36645,38336
3719140,EARL,100,73,27
3719300,EAST ARCADIA,198,136,62
3719320,EAST BEND,271,206,65
3719420,EAST FLAT ROCK,1647,1101,546
3719620,EAST LAURINBURG,124,98,26
3719740,EASTOVER,566,422,144
3719800,EAST ROCKINGHAM,1562,1115,447
3719860,EAST SPENCER,697,330,367
3720080,EDEN,6644,4272,2372
3720120,EDENTON,1983,1056,927
3720580,ELIZABETH CITY,6577,3262,3315
3720600,ELIZABETHTOWN,1536,895,641
3720620,ELKIN,1690,1036,654
3720700,ELK PARK,205,149,56
3720780,ELLENBORO,222,159,63
3720840,ELLERBE,398,246,152
3720980,ELM CITY,474,353,121
3721100,NA,1903,1200,703
3721120,ELROD,159,132,27
3721130,ELROY,1534,1078,456
3721160,EMERALD ISLE,1644,1318,326
3721360,ENFIELD,865,401,464
3721500,ENOCHVILLE,1143,951,192
3721740,ERWIN,1896,1367,529
3721880,ETOWAH,1280,1129,151
3721960,EUREKA,108,82,26
3722040,EVERETTS,80,53,27
3722240,FAIR BLUFF,505,357,148
3722305,FAIRFIELD HARBOUR,999,904,95
3722360,FAIRMONT,1078,615,463
3722380,FAIRPLAINS,886,615,271
3722440,FAIRVIEW,907,743,164
3722560,FAISON,314,184,130
3722600,FAITH,276,222,54
3722620,FALCON,84,62,22
3722640,FALKLAND,39,25,14
3722720,FALLSTON,230,188,42
3722820,FARMVILLE,1839,1042,797
3722920,FAYETTEVILLE,48414,25815,22599
3722970,NA,506,480,26
3723520,FIVE POINTS,113,88,25
3723600,FLAT ROCK,1169,1067,102
3723640,FLAT ROCK,696,531,165
3723760,FLETCHER,1744,1464,280
3724080,FOREST CITY,3245,1682,1563
3724170,FOREST HILLS,156,92,64
3724198,FOREST OAKS,1227,1165,62
3724260,NA,4315,54,4261
3724440,FOUNTAIN,227,119,108
3724520,FOUR OAKS,614,342,272
3724570,FOXFIRE,222,194,28
3724640,FRANKLIN,1627,942,685
3724720,FRANKLINTON,722,472,250
3724740,FRANKLINVILLE,441,344,97
3724900,FREMONT,591,339,252
3725300,FUQUAY-VARINA,3122,1922,1200
3725380,GAMEWELL,1501,1193,308
3725460,GARLAND,276,173,103
3725480,GARNER,6950,4805,2145
3725540,GARYSBURG,482,351,131
3725560,GASTON,429,284,145
3725580,GASTONIA,25945,14716,11229
3725680,GATESVILLE,117,97,20
3725940,GIBSON,213,118,95
3725980,GIBSONVILLE,1707,1236,471
3726200,GLEN ALPINE,423,343,80
3726460,GLEN RAVEN,1068,799,269
3726740,GODWIN,38,32,6
3726880,GOLDSBORO,14630,6225,8405
3726920,GOLDSTON,128,99,29
3727120,GORMAN,406,305,101
3727280,GRAHAM,5241,2897,2344
3727320,GRANDFATHER,32,32,0
3727420,GRANITE FALLS,1758,1135,623
3727440,GRANITE QUARRY,871,600,271
3727780,GREENEVERS,210,116,94
3727870,GREEN LEVEL,741,613,128
3728000,GREENSBORO,92394,48964,43430
3728080,GREENVILLE,25204,9906,15298
3728200,GRIFTON,812,582,230
3728240,GRIMESLAND,174,130,44
3728400,GROVER,280,187,93
3728900,HALF MOON,2261,1500,761
