geocode,geocode_desc,total,owned_loan,owned_clear,rented
3700160,ABERDEEN,6225,2598,656,2971
3700440,ADVANCE,1138,698,229,211
3700500,AHOSKIE,4836,1469,648,2719
3700640,ALAMANCE,951,712,159,80
3700680,ALBEMARLE,15259,6211,2365,6683
3701000,ALLIANCE,702,300,194,208
3701140,ALTAMAHAW,347,166,94,87
3701380,ANDREWS,1711,431,605,675
3701400,ANGIER,4312,1934,469,1909
3701420,ANSONVILLE,631,309,166,156
3701520,APEX,37355,27100,2238,8017
3701560,AQUADALE,397,218,97,82
3701640,ARAPAHOE,556,180,218,158
3701720,ARCHDALE,11196,6696,1591,2909
3701760,ARCHER LODGE,4292,3224,497,571
3702080,ASHEBORO,24347,8435,3298,12614
3702140,ASHEVILLE,79144,30668,11516,36960
3702240,ASHLEY HEIGHTS,380,199,84,97
3702320,ASKEWVILLE,241,83,106,52
3702460,ATKINSON,299,160,103,36
3702480,ATLANTIC,543,221,214,108
3702500,ATLANTIC BEACH,1495,446,330,719
3702580,AULANDER,884,331,213,340
3702620,AURORA,520,142,157,221
3702700,AUTRYVILLE,196,56,55,85
3702760,AVERY CREEK,1950,1329,295,326
3702780,AVON,776,382,221,173
3702840,AYDEN,4843,2035,666,2142
3702960,BADIN,1125,468,220,437
3703020,BAILEY,569,214,169,186
3703100,BAKERSVILLE,464,125,108,231
3703150,BALD HEAD ISLAND,158,104,46,8
3703220,BALFOUR,1187,693,219,275
3703500,BANNER ELK,656,230,113,313
3703640,BARKER HEIGHTS,1254,519,254,481
3703665,BARKER TEN MILE,952,644,212,96
3703840,BATH,249,142,83,24
3703960,BAYBORO,644,212,209,223
3704015,BAYSHORE,3393,2464,375,554
3704040,BAYVIEW,346,142,145,59
3704180,BEAR GRASS,73,20,33,20
3704260,BEAUFORT,3888,1048,852,1988
3704510,BEECH MOUNTAIN,320,180,73,67
3704640,BELHAVEN,1688,546,453,689
3704680,BELL ARTHUR,466,290,76,100
3704840,BELMONT,9420,5484,1312,2624
3704950,BELVILLE,1936,1526,117,293
3704955,BELVOIR,307,141,92,74
3704960,BELWOOD,950,445,268,237
3705020,BENNETT,282,159,101,22
3705040,BENSON,3151,1031,440,1680
3705049,BENT CREEK,1284,752,314,218
3705135,BERMUDA RUN,1652,953,596,103
3705220,BESSEMER CITY,5331,2410,768,2153
3705340,BETHANIA,328,186,80,62
3705460,BETHEL,1573,606,336,631
3705530,BETHLEHEM,4214,2774,908,532
3705660,BEULAVILLE,1296,356,331,609
3705880,BILTMORE FOREST,1343,859,396,88
3706000,BISCOE,1591,547,437,607
3706080,BLACK CREEK,769,339,192,238
3706140,BLACK MOUNTAIN,7622,3375,1644,2603
3706240,BLADENBORO,1750,542,449,759
3706500,BLOWING ROCK,1176,480,370,326
3706510,BLUE CLAY FARMS,33,18,6,9
3706660,BOARDMAN,157,46,73,38
3706740,BOGUE,684,409,114,161
3706760,BOILING SPRING LAKES,5369,3466,862,1041
3706800,BOILING SPRINGS,3527,2303,397,827
3706820,BOLIVIA,143,74,31,38
3706860,BOLTON,691,242,251,198
3706980,BONNETSVILLE,443,142,99,202
3707080,BOONE,11976,1980,982,9014
3707140,BOONVILLE,1222,610,272,340
3707220,BOSTIC,386,228,91,67
3707400,BOWMORE,103,18,50,35
3707720,BREVARD,6772,2278,1579,2915
3707765,BRICES CREEK,3067,2408,378,281
3707860,BRIDGETON,454,142,94,218
3708040,BROAD CREEK,2334,1105,684,545
3708080,BROADWAY,1227,645,289,293
3708110,BROGDEN,2630,1269,502,859
3708140,BROOKFORD,382,129,62,191
3708420,BRUNSWICK,428,100,117,211
3708480,BRYSON CITY,1336,460,247,629
3708760,BUIES CREEK,1193,256,176,761
3708860,BUNN,344,129,56,159
3708880,BUNNLEVEL,552,237,130,185
3708960,BURGAW,2936,977,446,1513
3709060,BURLINGTON,49057,20576,6878,21603
3709140,BURNSVILLE,1537,446,341,750
3709360,BUTNER,7078,3579,1369,2130
3709380,BUTTERS,294,110,126,58
3709400,BUXTON,1273,510,322,441
3709530,CAJAH'S MOUNTAIN,2823,1487,625,711
3709540,CALABASH,1786,638,519,629
3709760,CALYPSO,536,196,140,200
3709780,CAMDEN,599,269,105,225
3709800,CAMERON,285,138,97,50
3710120,CANDOR,825,335,227,263
3710240,CANTON,4149,1975,901,1273
3710260,CAPE CARTERET,1917,1145,414,358
3710460,CAROLEEN,652,213,252,187
3710500,CAROLINA BEACH,5706,2395,662,2649
3710550,CAROLINA SHORES,3048,1613,1118,317
3710620,CARRBORO,19545,7641,1213,10691
3710680,CARTHAGE,2093,966,445,682
3710740,CARY,134974,86882,12325,35767
3710760,CASAR,297,122,111,64
3710800,CASHIERS,157,57,51,49
3710860,CASTALIA,268,112,118,38
3710880,CASTLE HAYNE,1202,569,241,392
3710960,CASWELL BEACH,398,247,114,37
3710980,CATAWBA,603,268,193,142
3711340,CEDAR POINT,1279,717,252,310
3711352,CEDAR ROCK,300,192,98,10
3711560,CENTERVILLE,89,39,28,22
3711620,CERRO GORDO,207,81,95,31
3711640,CHADBOURN,1846,486,460,900
3711800,CHAPEL HILL,48230,19298,5279,23653
3712000,CHARLOTTE,718055,373836,51737,292482
3712140,CHEROKEE,2120,508,1038,574
3712340,CHERRYVILLE,5589,2921,1021,1647
3712460,CHIMNEY ROCK VILLAGE,113,44,40,29
3712480,CHINA GROVE,3530,1794,536,1200
3712580,CHOCOWINITY,814,241,186,387
3712720,CLAREMONT,1352,803,215,334
3712780,CLARKTON,810,229,222,359
3712860,CLAYTON,16018,9708,1076,5234
3712960,CLEMMONS,18414,11932,2909,3573
3713000,CLEVELAND,871,501,167,203
3713100,CLIFFSIDE,611,313,153,145
3713240,CLINTON,7704,2536,1415,3753
3713280,CLYDE,1223,521,242,460
3713360,COATS,2106,917,278,911
3713460,COFIELD,407,130,95,182
3713500,COINJOCK,335,128,94,113
3713560,COLERAIN,204,78,70,56
3713940,COLUMBIA,885,205,286,394
3713980,COLUMBUS,980,346,233,401
3714060,COMO,91,35,24,32
3714100,CONCORD,78173,46604,7410,24159
3714200,CONETOE,294,106,92,96
3714280,CONNELLY SPRINGS,1669,818,452,399
3714340,CONOVER,8043,4152,1370,2521
3714400,CONWAY,836,295,188,353
3714460,COOLEEMEE,960,474,199,287
3714600,CORDOVA,1775,870,459,446
3714700,CORNELIUS,24860,16256,2199,6405
3715020,COVE CITY,399,97,187,115
3715040,COVE CREEK,1171,540,353,278
3715260,CRAMERTON,4085,2675,495,915
3715320,CREEDMOOR,4094,2690,402,1002
3715420,CRESWELL,276,62,73,141
3715440,CRICKET,1855,648,588,619
3715580,CROSSNORE,118,40,59,19
3715880,CULLOWHEE,2881,277,177,2427
3716180,DALLAS,4488,2078,599,1811
3716220,DANA,3329,1792,670,867
3716240,DANBURY,110,46,45,19
3716400,DAVIDSON,9150,6165,1042,1943
3716480,DAVIS,422,226,115,81
3716730,DEERCROFT,411,320,72,19
3716780,DELCO,348,157,133,58
3716820,DELLVIEW,13,9,0,4
