geocode,geocode_desc,total,owned_loan,owned_clear,rented
3700160,ABERDEEN,1816,1556,476,138
3700440,ADVANCE,187,31,18,0
3700500,AHOSKIE,408,3266,831,276
3700640,ALAMANCE,80,29,25,4
3700680,ALBEMARLE,3761,3453,825,205
3701000,ALLIANCE,170,101,38,28
3701140,ALTAMAHAW,77,12,8,0
3701380,ANDREWS,588,29,6,3
3701400,ANGIER,1002,966,350,83
3701420,ANSONVILLE,40,452,215,129
3701520,APEX,5392,2858,1349,126
3701560,AQUADALE,82,0,0,0
3701640,ARAPAHOE,133,31,15,11
3701720,ARCHDALE,2357,450,221,10
3701760,ARCHER LODGE,376,374,300,22
3702080,ASHEBORO,7336,2956,633,155
3702140,ASHEVILLE,27187,10562,2930,992
3702240,ASHLEY HEIGHTS,58,78,55,14
3702320,ASKEWVILLE,45,7,0,0
3702460,ATKINSON,29,22,20,1
3702480,ATLANTIC,102,0,0,0
3702500,ATLANTIC BEACH,656,12,3,0
3702580,AULANDER,74,487,154,69
3702620,AURORA,93,227,45,60
3702700,AUTRYVILLE,69,14,6,0
3702760,AVERY CREEK,311,58,52,0
3702780,AVON,169,0,0,0
3702840,AYDEN,675,2357,702,250
3702960,BADIN,269,360,117,79
3703020,BAILEY,103,110,44,9
3703100,BAKERSVILLE,209,0,0,0
3703150,BALD HEAD ISLAND,6,0,0,0
3703220,BALFOUR,216,37,19,3
3703500,BANNER ELK,285,10,4,0
3703640,BARKER HEIGHTS,269,70,37,7
3703665,BARKER TEN MILE,47,118,75,27
3703840,BATH,24,2,1,1
3703960,BAYBORO,110,302,99,95
3704015,BAYSHORE,484,90,59,7
3704040,BAYVIEW,57,20,2,16
3704180,BEAR GRASS,17,7,3,4
3704260,BEAUFORT,1465,670,82,136
3704510,BEECH MOUNTAIN,65,4,4,0
3704640,BELHAVEN,238,952,279,271
3704680,BELL ARTHUR,53,155,102,10
3704840,BELMONT,1981,834,306,98
3704950,BELVILLE,193,335,235,18
3704955,BELVOIR,47,112,48,40
3704960,BELWOOD,222,27,13,2
3705020,BENNETT,22,8,8,0
3705040,BENSON,773,841,193,74
3705049,BENT CREEK,190,0,0,0
3705135,BERMUDA RUN,99,32,24,8
3705220,BESSEMER CITY,1536,779,264,58
3705340,BETHANIA,47,33,15,6
3705460,BETHEL,97,938,245,167
3705530,BETHLEHEM,499,37,16,0
3705660,BEULAVILLE,368,299,35,49
3705880,BILTMORE FOREST,79,8,0,0
3706000,BISCOE,221,324,165,58
3706080,BLACK CREEK,177,143,78,10
3706140,BLACK MOUNTAIN,2300,430,161,59
3706240,BLADENBORO,450,404,72,44
3706500,BLOWING ROCK,301,5,0,0
3706510,BLUE CLAY FARMS,5,12,9,0
3706660,BOARDMAN,23,53,11,27
3706740,BOGUE,139,15,7,0
3706760,BOILING SPRING LAKES,902,225,143,13
3706800,BOILING SPRINGS,564,364,121,9
