geocode,geocode_desc,total,owned_loan,owned_clear,rented
3700160,ABERDEEN,4109,1905,481,1723
3700440,ADVANCE,1072,664,226,182
3700500,AHOSKIE,1339,590,355,394
3700640,ALAMANCE,900,678,144,78
3700680,ALBEMARLE,10584,4908,2073,3603
3701000,ALLIANCE,580,248,162,170
3701140,ALTAMAHAW,324,153,94,77
3701380,ANDREWS,1503,399,528,576
3701400,ANGIER,2476,1284,304,888
3701420,ANSONVILLE,171,94,37,40
3701520,APEX,28987,22172,1785,5030
3701560,AQUADALE,397,218,97,82
3701640,ARAPAHOE,477,159,198,120
3701720,ARCHDALE,9622,5904,1482,2236
3701760,ARCHER LODGE,3355,2655,367,333
3702080,ASHEBORO,14333,6003,2485,5845
3702140,ASHEVILLE,61183,25575,9686,25922
3702240,ASHLEY HEIGHTS,203,103,42,58
3702320,ASKEWVILLE,232,81,106,45
3702460,ATKINSON,258,132,97,29
3702480,ATLANTIC,530,218,210,102
3702500,ATLANTIC BEACH,1413,438,323,652
3702580,AULANDER,391,177,142,72
3702620,AURORA,276,91,93,92
3702700,AUTRYVILLE,169,50,55,64
3702760,AVERY CREEK,1742,1154,284,304
3702780,AVON,718,372,220,126
3702840,AYDEN,2329,1264,394,671
3702960,BADIN,758,348,141,269
3703020,BAILEY,380,163,114,103
3703100,BAKERSVILLE,437,122,106,209
3703150,BALD HEAD ISLAND,145,96,43,6
3703220,BALFOUR,974,595,192,187
3703500,BANNER ELK,587,212,113,262
3703640,BARKER HEIGHTS,725,358,189,178
3703665,BARKER TEN MILE,644,438,159,47
3703840,BATH,243,137,82,24
3703960,BAYBORO,322,105,111,106
3704015,BAYSHORE,3133,2303,360,470
3704040,BAYVIEW,320,140,123,57
3704180,BEAR GRASS,62,17,28,17
3704260,BEAUFORT,3041,951,676,1414
3704510,BEECH MOUNTAIN,305,174,71,60
3704640,BELHAVEN,646,251,170,225
3704680,BELL ARTHUR,296,177,66,53
3704840,BELMONT,7783,4734,1115,1934
3704950,BELVILLE,1476,1197,94,185
3704955,BELVOIR,188,93,48,47
3704960,BELWOOD,876,423,256,197
3705020,BENNETT,263,140,101,22
3705040,BENSON,1842,788,334,720
3705049,BENT CREEK,1228,731,309,188
3705135,BERMUDA RUN,1580,903,582,95
3705220,BESSEMER CITY,4225,2059,679,1487
3705340,BETHANIA,280,163,74,43
3705460,BETHEL,620,355,168,97
3705530,BETHLEHEM,4063,2676,903,484
3705660,BEULAVILLE,898,271,264,363
3705880,BILTMORE FOREST,1321,852,391,78
3706000,BISCOE,645,246,229,170
3706080,BLACK CREEK,556,235,149,172
3706140,BLACK MOUNTAIN,6870,3077,1522,2271
3706240,BLADENBORO,1297,457,400,440
3706500,BLOWING ROCK,1120,465,356,299
3706510,BLUE CLAY FARMS,17,6,6,5
3706660,BOARDMAN,104,35,46,23
3706740,BOGUE,634,390,114,130
3706760,BOILING SPRING LAKES,4909,3200,830,879
3706800,BOILING SPRINGS,3057,2122,382,553
3706820,BOLIVIA,126,67,25,34
3706860,BOLTON,160,40,74,46
3706980,BONNETSVILLE,198,84,70,44
3707080,BOONE,10875,1808,926,8141
3707140,BOONVILLE,1103,562,262,279
3707220,BOSTIC,352,202,87,63
3707400,BOWMORE,24,4,7,13
3707720,BREVARD,5629,1979,1461,2189
3707765,BRICES CREEK,2718,2161,349,208
3707860,BRIDGETON,368,126,89,153
3708040,BROAD CREEK,2137,1033,620,484
3708080,BROADWAY,965,529,251,185
3708110,BROGDEN,824,395,201,228
3708140,BROOKFORD,327,120,55,152
3708420,BRUNSWICK,144,39,47,58
3708480,BRYSON CITY,1170,429,236,505
3708760,BUIES CREEK,980,226,165,589
3708860,BUNN,214,94,42,78
3708880,BUNNLEVEL,281,108,96,77
3708960,BURGAW,1579,693,299,587
3709060,BURLINGTON,26081,12501,4985,8595
3709140,BURNSVILLE,1331,417,330,584
3709360,BUTNER,3760,1993,823,944
3709380,BUTTERS,275,101,126,48
3709400,BUXTON,1117,491,291,335
3709530,CAJAH'S MOUNTAIN,2657,1399,609,649
3709540,CALABASH,1420,600,451,369
3709760,CALYPSO,286,148,82,56
3709780,CAMDEN,513,250,95,168
3709800,CAMERON,205,93,69,43
3710120,CANDOR,379,168,124,87
3710240,CANTON,3797,1810,873,1114
3710260,CAPE CARTERET,1825,1101,413,311
3710460,CAROLEEN,540,181,218,141
3710500,CAROLINA BEACH,5477,2328,645,2504
3710550,CAROLINA SHORES,2904,1534,1111,259
3710620,CARRBORO,13171,6386,970,5815
3710680,CARTHAGE,1492,781,285,426
3710740,CARY,94912,65533,10015,19364
3710760,CASAR,290,118,108,64
3710800,CASHIERS,133,57,45,31
3710860,CASTALIA,138,54,70,14
3710880,CASTLE HAYNE,956,465,207,284
3710960,CASWELL BEACH,387,241,113,33
3710980,CATAWBA,434,217,119,98
