geocode,geocode_desc,vacant_total,for_rent,rented_unoccupied,for_sale,sold,seasonal,migrant,other
3700160,ABERDEEN,249,64,6,51,24,25,1,78
3700440,ADVANCE,53,10,0,14,7,1,0,21
3700500,AHOSKIE,247,101,5,42,3,29,0,67
3700640,ALAMANCE,36,13,0,8,2,2,0,11
3700680,ALBEMARLE,987,472,14,123,27,56,0,295
3701000,ALLIANCE,30,4,0,4,1,2,0,19
3701140,ALTAMAHAW,31,2,0,7,3,0,0,19
3701380,ANDREWS,191,61,1,11,8,29,0,81
3701400,ANGIER,157,56,1,61,6,4,0,29
3701420,ANSONVILLE,57,27,2,5,3,12,0,8
3701520,APEX,697,290,12,191,46,67,0,91
3701560,AQUADALE,18,3,0,2,0,1,0,12
3701640,ARAPAHOE,35,2,0,6,0,4,3,20
3701720,ARCHDALE,360,180,3,71,12,14,1,79
3701760,ARCHER LODGE,51,5,2,18,6,9,0,11
3702080,ASHEBORO,1278,686,40,198,36,55,1,262
3702140,ASHEVILLE,4246,1440,97,727,107,995,1,879
3702240,ASHLEY HEIGHTS,12,3,0,2,0,0,0,7
3702320,ASKEWVILLE,8,3,0,0,0,1,0,4
3702460,ATKINSON,23,4,2,2,2,4,0,9
3702480,ATLANTIC,172,15,1,22,0,108,0,26
3702500,ATLANTIC BEACH,4095,56,2,44,1,3972,0,20
3702580,AULANDER,74,5,0,8,1,6,0,54
3702620,AURORA,74,23,0,4,0,9,6,32
3702700,AUTRYVILLE,27,3,0,0,0,2,0,22
3702760,AVERY CREEK,77,5,0,29,3,8,0,32
3702780,AVON,1289,863,1,18,1,368,0,38
3702840,AYDEN,244,76,4,48,3,21,1,91
3702960,BADIN,119,44,5,15,1,17,0,37
3703020,BAILEY,38,10,1,4,0,2,0,21
3703100,BAKERSVILLE,41,13,0,3,0,19,0,6
3703150,BALD HEAD ISLAND,1028,22,1,8,1,996,0,0
3703220,BALFOUR,84,36,0,12,0,9,0,27
3703500,BANNER ELK,316,23,2,56,1,218,0,16
3703640,BARKER HEIGHTS,67,21,0,10,6,5,1,24
3703665,BARKER TEN MILE,17,2,0,5,2,3,0,5
3703840,BATH,51,1,0,6,0,37,0,7
3703960,BAYBORO,68,15,1,4,1,14,0,33
3704015,BAYSHORE,75,18,2,16,4,22,0,13
3704040,BAYVIEW,148,0,0,0,0,139,0,9
3704180,BEAR GRASS,3,0,0,1,0,0,0,2
3704260,BEAUFORT,754,88,6,73,7,474,0,106
3704510,BEECH MOUNTAIN,2133,21,2,41,4,2049,0,16
3704640,BELHAVEN,180,17,9,55,1,29,1,68
3704680,BELL ARTHUR,25,9,0,3,1,1,0,11
3704840,BELMONT,406,132,9,111,26,26,0,102
3704950,BELVILLE,42,7,0,21,0,6,0,8
3704955,BELVOIR,12,1,3,0,0,1,0,7
3704960,BELWOOD,44,8,0,5,0,4,0,27
3705020,BENNETT,21,1,0,2,0,0,0,18
3705040,BENSON,253,103,1,37,4,12,1,95
3705049,BENT CREEK,47,7,0,3,2,5,0,30
3705135,BERMUDA RUN,161,8,2,84,38,22,0,7
3705220,BESSEMER CITY,281,131,2,47,6,5,0,90
3705340,BETHANIA,11,2,2,2,0,4,0,1
3705460,BETHEL,99,39,2,9,6,8,0,35
3705530,BETHLEHEM,180,35,0,38,12,64,0,31
3705660,BEULAVILLE,58,20,1,7,2,3,0,25
3705880,BILTMORE FOREST,127,4,0,26,4,71,0,22
3706000,BISCOE,68,20,0,5,2,2,0,39
3706080,BLACK CREEK,31,10,0,8,0,1,0,12
3706140,BLACK MOUNTAIN,568,131,6,70,18,220,0,123
3706240,BLADENBORO,99,43,7,7,9,9,0,24
3706500,BLOWING ROCK,1438,82,15,61,13,1229,1,37
3706510,BLUE CLAY FARMS,1,0,0,0,0,0,0,1
3706660,BOARDMAN,16,2,1,0,0,0,1,12
3706740,BOGUE,33,2,1,8,0,17,0,5
3706760,BOILING SPRING LAKES,293,36,3,75,3,112,0,64
3706800,BOILING SPRINGS,105,38,0,21,1,6,2,37
3706820,BOLIVIA,17,2,0,0,2,2,0,11
3706860,BOLTON,48,8,0,4,3,6,0,27
3706980,BONNETSVILLE,19,10,0,0,0,0,0,9
3707080,BOONE,498,180,12,102,10,128,0,66
3707140,BOONVILLE,69,13,0,10,0,4,0,42
3707220,BOSTIC,19,3,0,2,0,0,0,14
3707400,BOWMORE,13,1,0,1,0,1,0,10
3707720,BREVARD,520,131,7,98,7,143,0,134
3707765,BRICES CREEK,88,5,3,31,2,15,0,32
3707860,BRIDGETON,31,9,0,4,1,5,0,12
3708040,BROAD CREEK,153,17,2,14,6,94,1,19
3708080,BROADWAY,37,4,0,11,0,3,0,19
3708110,BROGDEN,139,65,4,17,4,6,0,43
3708140,BROOKFORD,32,7,0,5,1,0,0,19
3708420,BRUNSWICK,29,9,3,2,0,7,0,8
3708480,BRYSON CITY,217,64,6,22,2,64,0,59
3708760,BUIES CREEK,122,100,2,8,0,3,0,9
3708860,BUNN,50,23,0,1,2,2,0,22
3708880,BUNNLEVEL,25,5,0,4,0,0,1,15
3708960,BURGAW,186,68,5,37,8,15,0,53
3709060,BURLINGTON,2782,1332,27,495,55,67,0,806
3709140,BURNSVILLE,143,54,3,10,4,34,0,38
3709360,BUTNER,232,118,2,40,12,9,0,51
3709380,BUTTERS,8,1,2,1,0,2,0,2
3709400,BUXTON,318,60,4,5,1,208,0,40
3709530,CAJAH'S MOUNTAIN,76,20,1,13,5,6,0,31
3709540,CALABASH,589,30,1,24,4,475,0,55
3709760,CALYPSO,35,12,0,1,0,1,0,21
3709780,CAMDEN,30,16,1,2,3,2,0,6
3709800,CAMERON,32,2,0,1,4,2,0,23
3710120,CANDOR,40,16,0,6,2,0,0,16
3710240,CANTON,277,71,6,39,14,23,0,124
3710260,CAPE CARTERET,224,10,0,25,4,164,0,21
3710460,CAROLEEN,57,7,1,3,4,2,0,40
3710500,CAROLINA BEACH,2939,498,18,190,20,2126,0,87
3710550,CAROLINA SHORES,426,14,1,95,7,284,0,25
3710620,CARRBORO,633,417,13,97,19,25,1,61
3710680,CARTHAGE,136,30,4,16,2,10,0,74
3710740,CARY,3512,1590,89,779,264,379,0,411
3710760,CASAR,27,5,1,2,1,3,0,15
3710800,CASHIERS,109,5,0,7,2,84,0,11
3710860,CASTALIA,20,1,0,6,0,1,0,12
3710880,CASTLE HAYNE,61,24,2,4,2,4,0,25
3710960,CASWELL BEACH,476,54,0,7,0,413,0,2
3710980,CATAWBA,46,13,1,5,1,2,0,24
3711340,CEDAR POINT,398,17,0,12,1,342,0,26
3711352,CEDAR ROCK,4,0,0,1,1,1,0,1
3711560,CENTERVILLE,16,3,0,1,0,0,0,12
3711620,CERRO GORDO,20,8,2,0,1,1,0,8
3711640,CHADBOURN,142,45,6,4,3,7,0,77
3711800,CHAPEL HILL,1690,827,59,265,60,210,0,269
3712000,CHARLOTTE,30058,16361,498,5833,680,1307,9,5370
3712140,CHEROKEE,189,48,3,1,4,74,4,55
3712340,CHERRYVILLE,297,98,4,54,7,8,0,126
3712460,CHIMNEY ROCK VILLAGE,155,7,0,3,0,133,0,12
3712480,CHINA GROVE,172,52,4,27,1,7,0,81
3712580,CHOCOWINITY,41,18,0,4,0,2,0,17
3712720,CLAREMONT,61,20,0,14,3,3,0,21
3712780,CLARKTON,57,17,0,8,9,2,0,21
3712860,CLAYTON,598,227,5,190,14,29,1,132
3712960,CLEMMONS,739,407,4,171,19,37,1,100
3713000,CLEVELAND,49,34,0,2,1,3,0,9
3713100,CLIFFSIDE,36,11,0,3,2,0,0,20
3713240,CLINTON,319,92,9,42,15,33,0,128
3713280,CLYDE,73,18,1,15,0,12,0,27
3713360,COATS,99,36,1,18,4,3,0,37
3713460,COFIELD,40,7,1,4,2,6,0,20
3713500,COINJOCK,39,18,0,3,4,4,0,10
3713560,COLERAIN,31,6,0,2,0,13,0,10
3713940,COLUMBIA,64,8,6,4,2,8,2,34
3713980,COLUMBUS,62,32,0,5,3,10,0,12
3714060,COMO,6,0,0,0,0,2,0,4
3714100,CONCORD,2993,1258,31,578,114,159,0,853
3714200,CONETOE,22,7,0,0,1,1,0,13
3714280,CONNELLY SPRINGS,79,31,3,4,3,3,0,35
3714340,CONOVER,286,100,4,61,11,18,1,91
3714400,CONWAY,47,12,0,9,2,4,0,20
3714460,COOLEEMEE,89,29,3,13,7,3,0,34
3714600,CORDOVA,54,13,0,9,2,4,0,26
3714700,CORNELIUS,1180,254,20,264,36,432,0,174
3715020,COVE CITY,25,8,3,1,0,2,0,11
3715040,COVE CREEK,119,10,3,9,0,68,0,29
3715260,CRAMERTON,160,51,2,50,5,5,0,47
