geocode,total,owned_loan,owned_clear,rented
3700160,1816,1556,476,138
3700440,187,31,18,0
3700500,408,3266,831,276
3700640,80,29,25,4
3700680,3761,3453,825,205
3701000,170,101,38,28
3701140,77,12,8,0
3701380,588,29,6,3
3701400,1002,966,350,83
3701420,40,452,215,129
3701520,5392,2858,1349,126
3701560,82,0,0,0
3701640,133,31,15,11
3701720,2357,450,221,10
3701760,376,374,300,22
3702080,7336,2956,633,155
3702140,27187,10562,2930,992
3702240,58,78,55,14
3702320,45,7,0,0
3702460,29,22,20,1
3702480,102,0,0,0
3702500,656,12,3,0
3702580,74,487,154,69
3702620,93,227,45,60
3702700,69,14,6,0
3702760,311,58,52,0
3702780,169,0,0,0
3702840,675,2357,702,250
3702960,269,360,117,79
3703020,103,110,44,9
3703100,209,0,0,0
3703150,6,0,0,0
3703220,216,37,19,3
3703500,285,10,4,0
3703640,269,70,37,7
3703665,47,118,75,27
3703840,24,2,1,1
3703960,110,302,99,95
3704015,484,90,59,7
3704040,57,20,2,16
3704180,17,7,3,4
3704260,1465,670,82,136
3704510,65,4,4,0
3704640,238,952,279,271
3704680,53,155,102,10
3704840,1981,834,306,98
3704950,193,335,235,18
3704955,47,112,48,40
3704960,222,27,13,2
3705020,22,8,8,0
3705040,773,841,193,74
3705049,190,0,0,0
3705135,99,32,24,8
3705220,1536,779,264,58
3705340,47,33,15,6
3705460,97,938,245,167
3705530,499,37,16,0
3705660,368,299,35,49
3705880,79,8,0,0
3706000,221,324,165,58
3706080,177,143,78,10
3706140,2300,430,161,59
3706240,450,404,72,44
3706500,301,5,0,0
3706510,5,12,9,0
3706660,23,53,11,27
3706740,139,15,7,0
3706760,902,225,143,13
3706800,564,364,121,9
3706820,34,10,7,3
3706860,51,479,183,163
3706980,51,137,45,14
3707080,8323,377,77,30
3707140,290,49,16,10
3707220,63,20,12,4
3707400,13,55,14,24
3707720,2270,751,213,94
3707765,209,261,164,27
3707860,162,56,5,1
3708040,499,42,26,14
3708080,185,127,52,18
3708110,257,1418,749,241
3708140,152,28,0,0
3708420,58,239,53,67
3708480,530,6,0,0
3708760,596,108,6,5
3708860,80,98,17,11
3708880,79,233,106,32
3708960,623,1104,225,131
3709060,9672,13753,4205,1041
3709140,642,37,6,1
3709360,1059,2148,1042,194
3709380,48,13,9,0
3709400,392,0,0,0
3709530,656,53,26,0
3709540,453,108,10,25
3709760,68,101,44,20
3709780,170,49,2,6
3709800,43,64,38,25
3710120,103,87,37,18
3710240,1160,73,25,14
3710260,324,17,6,0
3710460,145,66,17,22
3710500,2529,34,10,1
3710550,277,49,26,2
3710620,6601,1920,329,140
3710680,430,498,144,127
3710740,21894,10811,3938,222
3710760,64,0,0,0
3710800,31,9,0,0
3710860,19,99,39,42
3710880,288,166,81,20
3710960,33,0,0,0
3710980,98,129,22,74
3711340,284,12,8,1
3711352,10,0,0,0
3711560,19,3,0,0
3711620,22,22,3,14
3711640,249,1048,179,262
3711800,15171,4382,763,182
3712000,100688,251017,106416,9170
3712140,153,16,2,6
3712340,1208,595,207,56
3712460,28,1,0,0
3712480,859,259,94,44
3712580,199,300,95,38
3712720,301,27,19,1
3712780,94,350,57,59
3712860,2961,3530,1736,67
3712960,2528,1252,652,60
3713000,101,216,87,57
3713100,129,28,13,6
3713240,1118,3140,639,405
3713280,436,26,10,4
3713360,583,265,109,13
3713460,0,334,108,65
3713500,95,8,0,0
3713560,41,13,4,0
3713940,124,384,46,161
3713980,259,26,0,0
3714060,27,7,3,0
3714100,12822,14056,6440,606
3714200,4,223,77,55
3714280,349,20,17,2
3714340,1788,724,325,63
3714400,71,400,89,44
3714460,204,79,33,3
3714600,334,212,117,18
3714700,5153,1462,739,69
3715020,89,174,65,83
3715040,260,0,0,0
3715260,827,171,91,13
3715320,469,1460,878,93
3715420,45,119,21,37
3715440,504,27,6,1
3715580,16,0,0,0
3715880,2002,185,2,3
3716180,1262,695,264,62
3716220,624,43,10,5
3716240,19,0,0,0
3716400,1442,602,232,79
3716480,80,0,0,0
3716730,14,1,1,0
3716780,42,19,6,7
3716820,1,3,0,0
3716860,36,53,9,28
3716980,659,2,2,0
3717000,616,64,19,7
3717180,95,1,0,0
3717325,43,735,220,240
3717340,487,41,2,2
3717520,117,232,166,25
3717660,48,221,77,72
3717860,386,60,22,2
3718040,61,66,12,10
3718060,66,0,0,0
3718300,6,8,5,0
3718320,1496,3904,923,439
3719000,32754,89267,35358,3746
3719140,56,21,9,4
3719300,5,438,171,117
3719320,146,7,5,0
3719420,1278,199,114,21
3719620,42,57,11,1
3719740,566,687,331,153
3719800,926,620,175,72
3719860,139,1289,331,184
3720080,4028,3660,1253,309
3720120,637,2614,543,368
3720280,594,80,46,8
