geocode,total,owned_loan,owned_clear,rented
3700160,290,104,14,172
3700440,14,2,0,12
3700500,79,19,4,56
3700640,13,3,8,2
3700680,655,186,26,443
3701000,15,11,4,0
3701140,9,5,0,4
3701380,124,13,49,62
3701400,848,284,77,487
3701420,12,0,0,12
3701520,2416,1166,122,1128
3701560,0,0,0,0
3701640,36,6,8,22
3701720,427,177,16,234
3701760,504,218,100,186
3702080,6501,1598,606,4297
3702140,4983,1419,639,2925
3702240,29,13,8,8
3702320,0,0,0,0
3702460,19,8,5,6
3702480,10,3,1,6
3702500,20,1,2,17
3702580,2,0,0,2
3702620,13,4,4,5
3702700,5,0,0,5
3702760,58,42,5,11
3702780,53,7,0,46
3702840,101,47,17,37
3702960,0,0,0,0
3703020,73,7,46,20
3703100,12,0,0,12
3703150,8,8,0,0
3703220,138,60,24,54
3703500,39,4,0,35
3703640,433,109,56,268
3703665,18,13,0,5
3703840,3,3,0,0
3703960,7,0,3,4
3704015,105,67,4,34
3704040,2,0,2,0
3704180,0,0,0,0
3704260,96,9,27,60
3704510,9,2,2,5
3704640,71,13,0,58
3704680,7,3,4,0
3704840,301,133,16,152
3704950,83,64,0,19
3704955,13,0,10,3
3704960,37,0,9,28
3705020,0,0,0,0
3705040,414,34,24,356
3705049,35,8,0,27
3705135,15,9,2,4
3705220,240,34,22,184
3705340,11,7,0,4
3705460,9,4,0,5
3705530,70,51,2,17
3705660,80,39,16,25
3705880,11,7,3,1
3706000,605,128,148,329
3706080,63,23,33,7
3706140,177,81,33,63
3706240,26,2,6,18
3706500,14,0,0,14
3706510,0,0,0,0
3706660,0,0,0,0
3706740,31,12,0,19
3706760,116,60,9,47
3706800,59,44,1,14
3706820,0,0,0,0
3706860,7,2,0,5
3706980,99,7,13,79
3707080,367,30,7,330
3707140,59,31,0,28
3707220,4,4,0,0
3707400,0,0,0,0
3707720,233,42,8,183
3707765,43,39,2,2
3707860,17,4,0,13
3708040,85,29,25,31
3708080,111,49,15,47
3708110,344,98,59,187
3708140,11,2,7,2
3708420,15,4,3,8
3708480,77,11,3,63
3708760,39,17,2,20
3708860,24,14,2,8
3708880,11,2,0,9
3708960,214,32,13,169
3709060,7650,3141,728,3781
3709140,165,22,10,133
3709360,1054,451,353,250
3709380,6,0,0,6
3709400,142,8,29,105
3709530,72,38,6,28
3709540,256,24,39,193
3709760,135,0,30,105
