geocode,total,owned_loan,owned_clear,rented
3700160,4109,1905,481,1723
3700440,1072,664,226,182
3700500,1339,590,355,394
3700640,900,678,144,78
3700680,10584,4908,2073,3603
3701000,580,248,162,170
3701140,324,153,94,77
3701380,1503,399,528,576
3701400,2476,1284,304,888
3701420,171,94,37,40
3701520,28987,22172,1785,5030
3701560,397,218,97,82
3701640,477,159,198,120
3701720,9622,5904,1482,2236
3701760,3355,2655,367,333
3702080,14333,6003,2485,5845
3702140,61183,25575,9686,25922
3702240,203,103,42,58
3702320,232,81,106,45
3702460,258,132,97,29
3702480,530,218,210,102
3702500,1413,438,323,652
3702580,391,177,142,72
3702620,276,91,93,92
3702700,169,50,55,64
3702760,1742,1154,284,304
3702780,718,372,220,126
3702840,2329,1264,394,671
3702960,758,348,141,269
3703020,380,163,114,103
3703100,437,122,106,209
3703150,145,96,43,6
3703220,974,595,192,187
3703500,587,212,113,262
3703640,725,358,189,178
3703665,644,438,159,47
3703840,243,137,82,24
3703960,322,105,111,106
3704015,3133,2303,360,470
3704040,320,140,123,57
3704180,62,17,28,17
3704260,3041,951,676,1414
3704510,305,174,71,60
3704640,646,251,170,225
3704680,296,177,66,53
3704840,7783,4734,1115,1934
3704950,1476,1197,94,185
3704955,188,93,48,47
3704960,876,423,256,197
3705020,263,140,101,22
3705040,1842,788,334,720
3705049,1228,731,309,188
3705135,1580,903,582,95
3705220,4225,2059,679,1487
3705340,280,163,74,43
3705460,620,355,168,97
3705530,4063,2676,903,484
3705660,898,271,264,363
3705880,1321,852,391,78
3706000,645,246,229,170
3706080,556,235,149,172
3706140,6870,3077,1522,2271
3706240,1297,457,400,440
3706500,1120,465,356,299
3706510,17,6,6,5
3706660,104,35,46,23
3706740,634,390,114,130
3706760,4909,3200,830,879
3706800,3057,2122,382,553
3706820,126,67,25,34
3706860,160,40,74,46
3706980,198,84,70,44
3707080,10875,1808,926,8141
3707140,1103,562,262,279
3707220,352,202,87,63
3707400,24,4,7,13
3707720,5629,1979,1461,2189
3707765,2718,2161,349,208
3707860,368,126,89,153
3708040,2137,1033,620,484
3708080,965,529,251,185
3708110,824,395,201,228
3708140,327,120,55,152
3708420,144,39,47,58
3708480,1170,429,236,505
3708760,980,226,165,589
3708860,214,94,42,78
3708880,281,108,96,77
3708960,1579,693,299,587
3709060,26081,12501,4985,8595
3709140,1331,417,330,584
3709360,3760,1993,823,944
3709380,275,101,126,48
3709400,1117,491,291,335
3709530,2657,1399,609,649
3709540,1420,600,451,369
3709760,286,148,82,56
3709780,513,250,95,168
3709800,205,93,69,43
3710120,379,168,124,87
3710240,3797,1810,873,1114
3710260,1825,1101,413,311
3710460,540,181,218,141
3710500,5477,2328,645,2504
3710550,2904,1534,1111,259
3710620,13171,6386,970,5815
3710680,1492,781,285,426
3710740,94912,65533,10015,19364
3710760,290,118,108,64
3710800,133,57,45,31
3710860,138,54,70,14
3710880,956,465,207,284
3710960,387,241,113,33
3710980,434,217,119,98
3711340,1207,676,250,281
3711352,297,189,98,10
3711560,86,39,28,19
3711620,169,78,72,19
3711640,704,281,186,237
3711800,33723,15254,4282,14187
3712000,329327,210041,36606,82680
3712140,267,42,76,149
3712340,4702,2594,925,1183
3712460,111,44,39,28
3712480,2827,1557,452,818
3712580,474,140,135,199
3712720,1265,763,214,288
3712780,405,164,150,91
3712860,10576,7026,894,2656
3712960,14934,10224,2415,2295
3713000,557,361,104,92
3713100,560,288,145,127
3713240,3567,1673,902,992
3713280,1148,482,235,431
3713360,1473,705,246,522
3713460,31,14,17,0
3713500,307,118,94,95
3713560,184,73,70,41
3713940,323,113,92,118
3713980,776,323,215,238
3714060,80,30,23,27
3714100,52215,34983,5809,11423
3714200,65,26,35,4
3714280,1485,698,442,345
3714340,5918,3191,1162,1565
3714400,412,200,141,71
3714460,801,403,195,203
3714600,1484,720,435,329
3714700,21421,14547,2045,4829
3715020,211,32,93,86
3715040,1111,519,351,241
3715260,3697,2413,464,820
3715320,2391,1649,289,453
3715420,122,41,36,45
3715440,1595,577,554,464
3715580,113,40,57,16
3715880,2404,257,161,1986
3716180,3367,1675,483,1209
3716220,2589,1520,603,466
3716240,105,42,45,18
3716400,7978,5694,920,1364
3716480,417,222,115,80
3716730,357,276,67,14
3716780,294,130,122,42
3716820,10,9,0,1
3716860,101,42,40,19
3716980,1603,658,292,653
3717000,2109,1138,375,596
3717180,220,91,39,90
3717325,95,14,38,43
3717340,981,415,152,414
3717520,659,391,157,111
3717660,179,57,74,48
3717860,1484,834,282,368
3718040,224,63,106,55
3718060,352,197,89,66
3718300,30,15,9,6
3718320,4449,2087,945,1417
3719000,84956,49224,9591,26141
3719140,238,120,62,56
3719300,20,8,7,5
3719320,565,300,119,146
3719420,3529,1557,949,1023
3719620,201,82,77,42
3719740,2653,1461,633,559
3719800,2550,807,888,855
3719860,195,30,31,134
3720080,10594,4589,2216,3789
3720120,1899,866,405,628
3720280,1849,853,478,518
3720420,440,229,101,110
3720580,6648,2946,1132,2570
3720600,1425,639,339,447
3720620,2915,1445,600,870
3720700,402,139,147,116
3720780,699,260,177,262
3720840,491,175,124,192
3720980,506,222,152,132
3721095,5642,2082,860,2700
3721120,47,4,30,13
3721130,2378,975,683,720
3721160,3488,1602,912,974
3721360,294,124,128,42
3721380,209,77,80,52
3721500,2683,1433,686,564
3721740,3237,1607,741,889
3721880,6398,3761,1797,840
3721960,140,70,48,22
3722040,110,35,33,42
3722080,220,81,82,57
3722240,312,93,125,94
3722280,145,64,66,15
3722305,2770,1449,922,399
3722360,686,330,231,125
3722380,1533,628,433,472
3722440,2510,1435,602,473
3722500,3230,2165,690,375
3722560,460,175,128,157
3722600,775,454,176,145
3722620,165,95,35,35
3722640,63,29,13,21
3722720,566,306,123,137
3722820,2170,1262,471,437
3722920,80859,36765,10125,33969
3722982,2232,893,955,384
3723520,381,268,80,33
3723600,3049,1532,1247,270
3723640,1327,523,420,384
3723760,6169,4177,918,1074
3724080,4788,1667,953,2168
3724170,326,101,68,157
3724198,3165,2267,725,173
3724380,1267,516,325,426
3724440,204,102,58,44
3724520,1309,569,236,504
3724570,809,440,207,162
3724640,3192,1247,672,1273
3724720,1102,540,254,308
3724740,749,270,155,324
3724900,591,245,156,190
3725020,195,79,59,57
3725160,1754,695,644,415
3725300,12218,9143,992,2083
3725380,3643,1726,962,955
3725460,285,93,117,75
3725480,13928,9105,1841,2982
3725540,22,10,2,10
3725560,623,205,210,208
3725580,42123,22563,6894,12666
3725680,253,132,72,49
3725880,782,510,182,90
3725900,252,117,74,61
3725940,214,67,73,74
3725980,4984,3397,646,941
3726200,1339,743,303,293
3726460,2050,1139,400,511
3726520,96,43,30,23
3726680,525,266,165,94
3726740,97,45,28,24
3726880,12760,4985,2310,5465
3726920,246,133,63,50
3727120,603,330,149,124
3727280,8306,4108,1609,2589
3727320,25,16,9,0
3727420,4264,2338,599,1327
3727440,2550,1475,363,712
3727520,566,232,203,131
3727780,49,14,14,21
3727870,305,107,75,123
3728000,121212,67496,17926,35790
3728080,42822,17237,3985,21600
3728200,1298,658,313,327
3728240,255,79,86,90
3728400,568,257,119,192
3728600,140,53,67,20
3728900,5430,3486,474,1470
3728920,149,83,38,28
3729000,170,61,54,55
3729120,160,37,80,43
3729160,3483,1734,772,977
3729180,3730,2373,776,581
3729560,1189,567,402,220
3729640,445,207,90,148
3729680,102,59,35,8
3729720,81,41,26,14
3729800,8517,6938,889,690
3730040,36,14,13,9
3730100,487,227,137,123
3730120,11572,4445,817,6310
3730260,1663,906,383,374
3730280,294,112,66,116
3730340,1782,896,439,447
3730620,1311,806,237,268
3730660,4163,1793,1170,1200
3730720,9514,3082,2064,4368
3730800,341,73,143,125
3730900,977,445,199,333
3731060,27173,13693,4416,9064
3731260,497,203,157,137
3731360,859,385,290,184
3731400,51000,29999,7016,13985
3731440,593,291,99,203
3731490,287,153,54,80
3731500,1863,834,487,542
3731620,3526,2198,402,926
3731660,797,558,76,163
3731860,163,63,62,38
3731880,127,25,72,30
3731920,209,77,67,65
3731960,554,232,241,81
3732100,16,7,8,1
3732180,1058,474,172,412
3732260,19041,16579,774,1688
3732540,193,98,39,56
3732580,1019,586,262,171
3732640,8962,5711,763,2488
3732740,2260,1447,565,248
3732840,526,113,228,185
3732980,3458,1876,746,836
3733120,37239,28648,2500,6091
3733320,2380,1066,668,646
3733460,110,66,35,9
3733560,25575,20598,1878,3099
3733640,159,95,52,12
3733820,664,363,165,136
3733940,69,27,26,16
3733993,384,130,101,153
3734000,280,130,121,29
3734038,828,367,274,187
3734200,32458,11197,2324,18937
3734260,4500,2487,944,1069
3734300,2699,1766,526,407
3734320,304,113,102,89
3734440,1229,426,254,549
3734840,1825,671,399,755
3735200,27946,15077,4577,8292
3735340,363,164,119,80
3735360,60,12,26,22
3735440,294,101,145,48
3735460,444,171,135,138
3735540,765,296,130,339
3735600,17306,9496,2196,5614
3735720,5846,3168,578,2100
3735760,6316,3943,913,1460
3735870,6192,3760,874,1558
3735880,7309,3400,1477,2432
3735890,57,24,11,22
3735920,5722,2751,1696,1275
3736020,110,39,42,29
3736060,3114,1964,463,687
3736080,5314,3782,335,1197
3736220,1947,985,349,613
3736400,1141,640,253,248
3736480,2649,1231,887,531
3736500,1130,605,354,171
3736511,7006,4773,1289,944
3736512,2832,2270,224,338
3736513,2040,1296,432,312
3736514,41,16,18,7
3736640,1068,572,269,227
3736860,2743,1538,554,651
3736960,151,62,33,56
3737000,97,48,37,12
3737040,333,156,98,79
3737120,836,362,230,244
3737160,1996,1011,640,345
3737220,6545,3392,1336,1817
3737260,478,214,110,154
3737640,40,21,12,7
3737680,11221,7270,1611,2340
3737760,13544,5914,2967,4663
3738030,75,25,31,19
3738040,11299,8206,1888,1205
3738060,9124,3342,1893,3889
3738100,1682,914,322,446
3738170,169,65,59,45
3738200,267,105,116,46
3738220,1169,425,203,541
3738320,6902,2749,1267,2886
3738360,99,58,30,11
3738680,326,146,120,60
3738860,2666,1608,549,509
3739280,3525,1422,719,1384
3739360,1207,557,240,410
3739420,82,33,18,31
3739480,2912,1623,436,853
3739520,2710,1993,413,304
3739540,309,146,67,96
3739600,499,189,150,160
3739680,71,46,19,6
