geocode,geocode_desc,total,owned_loan,owned_clear,rented
3700160,ABERDEEN,2832,993,364,1475
3700440,ADVANCE,461,255,123,83
3700500,AHOSKIE,2062,556,352,1154
3700640,ALAMANCE,365,246,81,38
3700680,ALBEMARLE,6512,2360,1304,2848
3701000,ALLIANCE,290,102,98,90
3701140,ALTAMAHAW,146,62,48,36
3701380,ANDREWS,780,175,292,313
3701400,ANGIER,1672,702,229,741
3701420,ANSONVILLE,250,103,79,68
3701520,APEX,13225,8873,1007,3345
3701560,AQUADALE,166,83,48,35
3701640,ARAPAHOE,217,72,91,54
3701720,ARCHDALE,4556,2441,855,1260
3701760,ARCHER LODGE,1485,1094,200,191
3702080,ASHEBORO,9880,3067,1722,5091
3702140,ASHEVILLE,37380,12629,6201,18550
3702240,ASHLEY HEIGHTS,142,72,39,31
3702320,ASKEWVILLE,100,30,50,20
3702460,ATKINSON,119,52,54,13
3702480,ATLANTIC,262,93,117,52
3702500,ATLANTIC BEACH,840,228,202,410
3702580,AULANDER,376,133,105,138
3702620,AURORA,241,55,77,109
3702700,AUTRYVILLE,91,21,34,36
3702760,AVERY CREEK,747,483,144,120
3702780,AVON,360,170,113,77
3702840,AYDEN,2129,780,351,998
3702960,BADIN,483,181,130,172
3703020,BAILEY,227,86,76,65
3703100,BAKERSVILLE,228,48,57,123
3703150,BALD HEAD ISLAND,83,50,28,5
3703220,BALFOUR,487,261,116,110
3703500,BANNER ELK,291,93,59,139
3703640,BARKER HEIGHTS,466,184,116,166
3703665,BARKER TEN MILE,377,232,110,35
3703840,BATH,125,58,53,14
3703960,BAYBORO,303,89,116,98
3704015,BAYSHORE,1338,876,195,267
3704040,BAYVIEW,157,62,67,28
3704180,BEAR GRASS,37,7,20,10
3704260,BEAUFORT,1991,498,454,1039
3704510,BEECH MOUNTAIN,154,86,41,27
3704640,BELHAVEN,760,214,224,322
3704680,BELL ARTHUR,182,106,38,38
3704840,BELMONT,3815,2015,679,1121
3704950,BELVILLE,745,574,66,105
3704955,BELVOIR,115,49,38,28
3704960,BELWOOD,379,151,135,93
3705020,BENNETT,121,55,53,13
3705040,BENSON,1301,382,233,686
3705049,BENT CREEK,543,281,154,108
3705135,BERMUDA RUN,860,442,354,64
3705220,BESSEMER CITY,2067,878,397,792
3705340,BETHANIA,155,81,45,29
3705460,BETHEL,648,229,164,255
3705530,BETHLEHEM,1737,1049,458,230
3705660,BEULAVILLE,605,128,169,308
3705880,BILTMORE FOREST,562,315,206,41
3706000,BISCOE,539,169,174,196
3706080,BLACK CREEK,302,123,92,87
3706140,BLACK MOUNTAIN,3573,1377,910,1286
3706240,BLADENBORO,798,207,238,353
