geocode,median_age_b,median_age_m,median_age_f
3700160,35.7,34,37.7
3700440,45.3,43.6,46.5
3700500,39.5,35.7,42
3700640,40.2,40.2,40.2
3700680,39.6,37,41.8
3701000,47,43.3,49.6
3701140,43.3,44.8,41
3701380,42.9,39.9,47.6
3701400,34.3,32.2,36.3
3701420,42.3,41.3,44.3
3701520,34.3,33.1,35.3
3701560,41.5,40.4,42.5
3701640,40.5,39.4,42.5
3701720,40,38.7,41.4
3701760,34.1,34.5,33.7
3702080,34,32.5,35.4
3702140,38.2,36.5,39.9
3702240,38.6,38.3,38.7
3702320,43.4,35.8,49
3702460,41.9,41.7,42.3
3702480,52.2,51.3,52.9
3702500,50,49.5,50.7
3702580,42.5,40.2,45.2
3702620,44.7,41.1,47.4
3702700,42.7,43.5,42.5
3702760,39,37.7,39.9
3702780,50.1,50,50.2
3702840,40.6,36.9,44.1
3702960,39.6,38.6,42.3
3703020,39.6,37.6,42.5
3703100,45.8,40.3,49.2
3703150,64,64.9,63.3
3703220,39.7,38,43.1
3703500,22,22.4,21.9
3703640,31.9,31,32.9
3703665,47.3,46.9,47.6
3703840,56.8,54.8,58.1
3703960,38.9,37.3,49.4
3704015,39.5,39.2,39.7
3704040,51,49.5,52.2
3704180,51.3,57.5,47.8
3704260,46.8,44.5,48.7
3704510,52,51.7,52.5
3704640,45.8,42.8,48
3704680,39.8,37.7,40.9
3704840,37,35.2,38.5
3704950,35,34.9,35.2
3704955,37.1,33.8,39.5
3704960,41.3,40.7,42.1
3705020,44.6,40.9,48.8
3705040,37.9,34.8,40.1
3705049,43.2,41,45.7
3705135,65.1,65.3,64.9
3705220,37,36.2,37.6
3705340,51.3,51.3,51.3
3705460,43.9,40.2,47.7
3705530,45.5,44.7,46.2
3705660,45.2,41.9,47.1
3705880,54.1,53.9,54.2
3706000,33.3,30.1,36.7
3706080,36.7,35,37.8
3706140,47.7,45.4,49.8
3706240,40.7,39.5,42.2
3706500,58.9,58,59.7
3706510,49.5,45.5,51.5
3706660,50.2,47.5,50.6
3706740,44.4,45.2,43.7
3706760,41.2,40.2,42.3
3706800,24.4,23.6,25.1
3706820,46.2,42,51.5
3706860,40.6,37.8,43.1
3706980,37.3,36.8,38.5
3707080,21.5,21.7,21.3
3707140,42.1,40.3,43.4
3707220,42,41.8,42.1
3707400,40.5,45,36.5
3707720,46.9,41.4,50.9
3707765,41.9,41.9,41.9
3707860,44,43,44.7
3708040,39.9,38.3,41.9
3708080,43.3,41.3,44.9
3708110,37.4,34.9,39.6
3708140,46.3,41.5,48.1
3708420,36.5,36.4,38.5
3708480,42.2,39.8,43.6
3708760,20.9,21,20.8
3708860,48,44.7,49
3708880,42,41.5,43.1
3708960,39.5,38.5,41.2
3709060,38.3,36.5,39.8
3709140,45.6,41.6,50.6
3709360,36.9,35.3,38.2
3709380,41.6,42.5,40.4
3709400,39.8,37.6,41.7
3709530,42.7,42.5,43.1
3709540,50.8,48.4,54.1
3709760,38.6,38,38.8
3709780,41.2,39.9,42.3
3709800,43.4,40.5,44
3710120,35.1,33.7,36.3
3710240,40.9,39.4,42.5
3710260,48.8,46.5,50.6
3710460,41.4,39.5,43.8
3710500,43.9,42.4,45.3
3710550,64.9,65.3,64.3
3710620,30.1,30.1,30.1
3710680,42.6,39.4,46.2
3710740,36.6,35.9,37.3
3710760,41.4,40.5,42.5
3710800,51.6,45.5,54.2
3710860,40.6,36.5,45.3
3710880,39.2,38.3,40.9
3710960,63,63.5,62.5
3710980,46.2,44.3,47.2
3711340,45.8,45.3,46
3711352,57.8,56.3,58.4
3711560,41.5,36.5,48.5
3711620,38.3,36.2,40
3711640,39.5,35.4,41.8
3711800,25.6,25.7,25.5
3712000,33.2,32.2,34.2
3712140,33.6,31.7,36.4
3712340,41.7,39.1,43.9
3712460,53.3,53,53.5
3712480,37.9,36.3,39.6
3712580,42.6,39.4,45.8
3712720,40.2,38.7,42.2
3712780,38.8,38.8,38.8
3712860,33.4,31.8,34.9
3712960,40.6,39.4,41.8
3713000,34.8,33.6,35.3
3713100,41.8,41.6,42
3713240,42.1,39.4,45.6
3713280,38.3,37.3,38.8
3713360,34.2,33,35
3713460,43.1,40.5,45.8
3713500,42.8,40.8,43.5
3713560,49,45.8,52.4
3713940,42.9,37,46.3
3713980,44.5,41.1,47.5
3714060,42.5,45.5,42.3
3714100,34.9,33.8,35.8
3714200,43.8,37.3,46.8
3714280,42.8,43.1,42.3
3714340,39.8,38.2,41.5
3714400,38.2,37.5,38.5
3714460,39.5,38.6,40.1
3714600,38.7,38.3,39.1
3714700,37.9,37.3,38.3
3715020,47.8,45.5,49.7
3715040,41,41.4,40.5
3715260,40.1,38.8,41.7
3715320,36.6,35.4,37.8
3715420,42.5,38.7,43.7
3715440,39.3,38.3,40.7
3715580,27,26.5,27.5
3715880,21,21.4,20.7
3716180,34.9,33.7,35.9
3716220,36.6,36,37.2
3716240,31.7,31.1,34.7
3716400,35.7,33.4,37.1
3716480,47.4,45.8,48.5
3716730,54.3,55,53.9
3716780,43.3,46,40.7
3716820,46.5,24.5,49.5
3716860,37.8,33.8,44.5
3716980,39.8,39,40.4
3717000,39.5,37.8,41
3717180,47.5,41,50
3717325,41.4,38.3,42.9
3717340,36.1,33.8,39
3717520,45.9,43.9,48
3717660,40.1,38.5,41.4
3717860,43.6,40.3,46.2
3718040,38.8,40,37
3718060,58.6,57.5,59.8
3718300,51.5,49,52.5
3718320,41,37.6,44.4
3719000,32.1,31.2,32.9
3719140,41.3,40.5,43
3719300,38.1,31.3,43.1
3719320,39.4,38.5,40.7
3719420,37.6,35.5,39.7
3719620,41.7,39,45.3
3719740,44.9,43.7,45.9
3719800,37.6,36.3,39
3719860,36,33.8,38.6
3720080,41.2,39.3,43
3720120,43.1,38.8,46.1
3720280,35.3,35.4,35.2
3720420,40.3,41,39.6
3720580,31.3,29.3,33.2
3720600,44.8,39.9,48.1
3720620,42.4,39,46.1
3720700,44.9,41.5,46.9
3720780,34.9,34.2,36.4
3720840,36.6,34.8,38.2
3720980,47.1,43.8,48.8
