geocode,total,owned,rented
37001020100,1827.9406325019443,852,975.9406325019442
37001020200,1725,846,879
37001020301,1593,853,740
37001020302,1225.2972705647994,920.2567336695967,305.04053689520276
37001020400,1980.0000000000218,1229.0000000000182,751.0000000000038
37001020501,1248.14130238838,993.2960567537897,254.84524563459013
37001020502,1185.0002432609126,699.0001216304563,486.00012163045625
37001020601,1325.0761873136184,1253.04256626153,72.03362105208818
37001020602,1061.846558295011,819.8801793470991,241.9663789479118
37001020701,1565.895047548985,954.4844247562665,611.4106227927184
37001020702,2094.0593674980028,998.9999999999667,1095.0593674980362
37001020801,635.977307038349,462.9818456306931,172.9954614076558
37001020802,2390.5121302481475,1085.671488272101,1304.8406419760465
37001020901,1284.0383293991795,871.4332102137067,412.60511918547274
37001020902,895.0000000000198,843.0000000000197,52.00000000000008
37001021000,1585.472233314451,652.913455883608,932.5587774308431
37001021101,1129.0000000000132,675.0000000000059,454.0000000000072
37001021102,1291.0000000000216,757.0000000000185,534.000000000003
37001021201,2045.678733935326,1608.7192708305308,436.959463104795
37001021204,1369.4353782729966,1202.0592982320734,167.3760800409231
37001021205,1350.9995580504744,878.0470800277681,472.9524780227063
37001021206,1241.2371798977974,840.9305197326364,400.30666016516085
37001021207,1274.034014921137,880.1648395341224,393.8691753870145
37001021300,1904.6618090254296,1708.0709287057955,196.59088031963418
37001021400,1029.514603303879,862.7267515491341,166.78785175474502
37001021500,1563.620218532742,1378.4719635896001,185.1482549431419
37001021600,1714.6426896152873,1376.537696890638,338.1049927246491
37001021701,972.9999999999899,703.9999999999902,268.99999999999966
37001021702,1323.0772543913515,914.0772543913515,409
37001021703,1106.531795040997,614.6813003920367,491.8504946489603
37001021801,1464.5740734977883,1236.8351059853221,227.7389675124662
37001021802,1034,936,98
37001021803,924.6594412010764,796.7614444894356,127.89799671164093
37001021901,1545.0061830647917,1355.0052997698215,190.00088329497024
37001021902,1296.9986207068835,1115.999023624686,180.99959708219734
37001022001,1078,885,193
37001022002,1329.046106511352,1141.9047476391086,187.1413588722436
37003040100,1260.6153589065154,1070.0540646836732,190.56129422284224
37003040200,1528.0007896147947,1277.0006392119778,251.0001504028167
37003040300,1200.999999999986,1000.9999999999894,199.99999999999642
37003040400,2459.000000000058,1700.0000000000448,759.0000000000135
37003040500,2550.5271096104607,2006.228946930703,544.2981626797576
37003040600,1836,1566,270
37003040700,2310,1957,353
37005950100,1712.1450319179603,1441.3694352336804,270.77559668427983
37005950200,1579.999999999989,1083.9999999999832,496.00000000000585
37005950300,1312.1290231956868,1106.9071496938634,205.22187350182335
37007920100,1322,1036,286
37007920200,665.995578917491,552.995578917491,113
37007920301,1779.2974476841198,1476.3171552370598,302.98029244706
37007920302,256.6139409447016,224.6139409447016,32
37007920400,1222.0491291153019,773.0223042956267,449.0268248196753
37007920501,467.6730595406291,331.2692238162516,136.40383572437744
37007920502,1868.2822324265787,1314.7128929706314,553.5693394559472
37007920600,1620,1279,341
37007980000,1.3860590552983987,1.3860590552983987,0
37009970200,1171.0004974665733,998.0004145554777,173.00008291109555
37009970300,1032.9116828645376,908.9461107183546,123.96557214618295
37009970400,1821.016221136778,1314.9065706014633,506.10965053531487
37009970501,1199.9218453041549,960.9361072223434,238.98573808181155
37009970502,1267.8252272888788,900.9369838527869,366.88824343609184
37009970701,1128.8185390105498,977.3532468755716,151.46529213497826
37009970702,844.836176150796,726.2781911715233,118.55798497927265
37009970801,850.482504777865,713.7858225607712,136.6966822170938
37009970802,1087.7829860622282,922.8852029582562,164.8977831039721
37011930100,1017.625257309253,752.0600649398339,265.5651923694191
37011930200,1314.6364762154108,1096.4798346001407,218.15664161527
37011930301,1518.3256254168318,1204.485882016684,313.8397434001479
37011930302,1286.4441289404494,1059.042309862254,227.4018190781955
37011930400,1395.6190849470183,1153.5263428893838,242.09274205763455
37013930101,1230.0732084900894,1044.0668829074286,186.00632558266065
37013930102,1015,680,335
37013930200,2061.994119266777,1688.9950993889806,372.9990198777961
37013930300,1890.799969304327,834.876904187281,1055.923065117046
37013930400,2002.200030695735,1155.12309581276,847.076934882975
37013930501,1863.4073559031635,1473.3644763344093,390.042879568754
37013930502,1315.5985248300597,1099.6404242766098,215.9581005534498
37013930600,1179,1027,152
37013930700,1289,1105,184
37013930800,1144.9858420557853,876.9858420557883,267.999999999997
37013930900,1306.0000000000298,1128.0000000000264,178.00000000000347
37013931001,910.974330292664,741.976304885536,168.99802540712798
37013931002,1109.9999999999905,889.999999999992,219.99999999999844
37015960100,2251.5843879056983,1753.6458851947846,497.9385027109136
37015960200,1421.3734075903376,1049.915605060225,371.4578025301126
37015960300,1444.6163943570143,1098.076097172103,346.5402971849114
37015960401,1406.653216445722,996.551072148574,410.102144297148
37015960402,1218.7644229733107,898.8044617839635,319.9599611893474
37017950101,825,695,130
37017950102,972.000000000016,815.0000000000122,157.0000000000038
37017950200,1195.5795910979057,994.4159536172601,201.16363748064555
37017950301,921.7271531644578,680.5374610345992,241.18969212985857
37017950302,1220.2648653585359,998.4544885509611,221.81037680757473
37017950401,1654.9999999999857,976.9999999999939,677.9999999999919
37017950402,768,648,120
37017950501,1062,883,179
37017950502,1593.354250649126,1144.362790255778,448.991460393348
37017950601,1478.9889662565542,1163.989823352189,314.99914290436527
37017950602,1196.1755328110253,1028.0966669640122,168.07886584701308
37019020101,772.0000000002091,651.0000000001595,121.00000000004951
37019020102,556.8208082392315,367.8948222273752,188.92598601185634
37019020105,570.8398264848818,468.39420426839433,102.4456222164874
37019020106,468.1791917607811,366.10517777263385,102.07401398814727
37019020107,594.1253766384411,353.5834569959484,240.5419196424928
37019020108,1032.0631703913018,720.0507122502896,312.0124581410122
37019020201,543.0000000000578,505.0000000000566,38.00000000000109
37019020203,627.0000000000431,521.0000000000307,106.00000000001242
37019020204,1512.825819245956,1261.2441876280222,251.58163161793362
37019020205,327.0000000000528,281.0000000000405,46.000000000012356
37019020206,458.18368382067246,374.7653154386052,83.41836838206724
37019020304,842.9704239526477,713.2009840268863,129.76943992576145
37019020305,718.2065754606966,518.5557535281092,199.6508219325873
37019020306,865.7934245393753,658.4442464719542,207.34917806742115
37019020307,88,77,11.000000000000002
37019020308,752,630,122
37019020311,417.43424025458745,364.13053086594766,53.30370938863984
37019020312,181.2148666112067,164.13553232330568,17.079334287901013
37019020313,1046,854,192
37019020314,244.0446558452054,190.80893116904107,53.23572467616431
37019020315,868.2379482874877,621.4422725044639,246.79567578302382
37019020316,281.7173958673069,253.74879632649504,27.96859954081188
37019020404,1057.9999999999804,897.9999999999861,159.9999999999944
37019020405,947.3804691816795,824.5329527839638,122.84751639771574
37019020406,379,331,48
37019020407,602.166048734856,496.34161742225467,105.82443131260125
37019020408,825.0551057343962,680.0509874541133,145.00411828028285
37019020409,779.8341671569561,645.65856762787,134.17559952908618
37019020504,242,220,22
37019020505,1329.9850004539983,1094.9850004540167,234.99999999998153
37019020508,284.9999999999796,245.99999999998195,38.999999999997605
37019020510,909.0928493910527,757.0631375859158,152.02971180513686
37019020511,942.9999999999968,777.9999999999984,164.99999999999838
37019020512,332,287,45
37019020513,349.0149995458682,264.014999545868,85.00000000000017
37019020514,837.9446783740278,725.9488274959612,111.99585087806665
37019020515,711.0000000001351,651.0000000001316,60.000000000003446
37019020516,1037.9999999996635,944.9999999996779,92.99999999998556
37019020517,941.6151073516858,810.6480310817896,130.9670762698962
37019020518,543.2920432574317,479.2888313324391,64.00321192499266
37019020601,1278.0000000000748,1020.0000000000487,258.00000000002626
37019020602,1671.9214176536627,1397.8789690910698,274.0424485625929
37019020603,667.0177923135907,545.0177923135897,122.00000000000091
37019990100,0,0,0
37021000100,594,37,557
37021000200,735,233.00000000000003,502
37021000300,721.0649178815504,337.0417329238538,384.02318495769657
37021000400,1304.9350821184482,507.9582670761453,796.9768150423029
37021000500,1795,1187,608
37021000600,1084,380,704
37021000700,606,216,390
37021000800,1347,783,564
37021000900,1165,384,781
37021001000,1500.2193056280562,823.5423515750674,676.6769540529888
37021001100,1877.7806943719438,1222.4576484249326,655.3230459470112
37021001200,2033.0002286937097,1362.0001960231798,671.00003267053
37021001300,1468.999999999988,909.9999999999911,558.9999999999967
37021001401,1540,968,572
37021001402,938.9999999999999,542,397
37021001500,958,512,446
37021001601,1396.3015535220754,1142.0000000000384,254.30155352203712
37021001602,1060.6984464780671,750.0000000000236,310.6984464780435
37021001700,1081.0000000001241,926.0000000000979,155.00000000002635
37021001801,1392.4730366655178,628.968565376537,763.5044712889809
37021001802,2059.526963334039,1096.0314346231135,963.4955287109254
37021001900,1575,1000,575
37021002000,2070,1273,796.9999999999999
37021002101,597,546,51
37021002102,1773,1140,633
37021002203,1600.125160629779,1051.7266514262062,548.3985092035729
37021002204,2497.3422440833997,1233.4244635729212,1263.9177805104787
37021002205,2124.1924408323744,1773.1818356977662,351.01060513460834
37021002206,1867.8075591677311,1295.8181643023204,571.9893948654106
37021002303,1175.1196621461715,942.3773823365955,232.7422798095761
37021002304,335,270,65
37021002305,1304.109263406094,1072.0780452900724,232.03121811602162
37021002306,1136.9997713063487,894.9998039768701,241.99996732947872
37021002401,1314.7990622566042,1033.4332786065509,281.3657836500532
37021002402,1530.8988603247265,1238.3342109690682,292.5646493556581
37021002503,1357.7541947791829,1025.8726586040905,331.88153617509244
37021002504,1549.4065128290981,1299.4337483215072,249.97276450759097
37021002505,1565.0411425632947,1315.1757477018832,249.86539486141137
37021002506,1341.8400512758126,881.5522420830594,460.2878091927533
37021002603,1243.1179836933059,1072.0916297374104,171.02635395589542
37021002604,1902.0745436473521,1609.0667836980751,293.0077599492769
37021002606,1232.000000000043,1041.000000000042,191.000000000001
37021002607,1477.9254563525997,1218.9332163018878,258.9922400507118
37021002608,1122.834918592596,906.8697966538955,215.9651219387005
37021002609,408,343,65
37021002701,1067.680821252379,884.7165343245164,182.96428692786253
37021002702,1647.3191787476494,1218.2834656755097,429.03571307213974
37021002704,1516,1238,278
37021002705,478,413,65
37021002803,1257.585685337327,1042.2578671466395,215.32781819068757
37021002804,1434.0426918312774,1208.0279438252383,226.014748006039
37021002900,1405.9770339427155,1105.9599714121891,300.0170625305264
37021003002,2559.6449491978356,1909.5949760534024,650.0499731444334
37021003003,1865,1494,371
37021003004,797.9945147070246,630.9952983203068,166.9992163867178
37021003103,690.6369484827829,541.7018515473121,148.9350969354707
37021003105,1381.7488838358984,1038.606597803441,343.1422860324574
37021003106,669.9997203274401,492.999737806975,176.999982520465
37021003107,1627,1138,489
37021003108,720.3605360951732,484.40972562631356,235.9508104688597
37021003201,704.0000000000621,610.0000000000578,94.00000000000433
37021003202,1332.4144427090625,1179.620340960787,152.79410174827552
37021003203,1529.0736981079426,1245.4300682565745,283.6436298513683
37021003204,1796.8229193159898,1537.2265947607298,259.5963245552602
37021003205,542.0592797779417,464.6285475908643,77.43073218707745
37023020100,1643.974304581587,1352.980190907679,290.9941136739078
37023020202,1606.9999999999334,1309.999999999946,296.99999999998727
37023020203,1071.2812502024371,927.3161386639356,143.96511153850147
37023020204,1085.0251704655427,886.0223209788775,199.0028494866652
37023020301,1767.0143475532268,1408.0081986018438,359.00614895138295
37023020303,1535,1254,281
37023020304,976.0079358175211,776.0057715036517,200.00216431386937
