geocode,total,owned_loan,owned_clear,rented
37001020100,3847,1449,407,1991
37001020200,4062,1388,446,2228
37001020301,3827,1291,574,1962
37001020302,3878.000000000263,1870.000000000221,843.000000000008,1165.000000000034
37001020400,5975.000000000261,2463.000000000192,932.000000000008,2580.000000000061
37001020501,3575,1813,589,1173
37001020502,3615,1381,585,1649
37001020601,3233.983132379494,2073.983132379522,856.999999999982,302.99999999999
37001020602,2363,1239,451,673
37001020701,4505,2008,757,1740
37001020702,4741.999999999919,1450.999999999986,488.99999999998,2801.999999999953
37001020801,1449.967466340247,477.988013914835,344.988013914828,626.991438510584
37001020802,5825.269869283359,1798.525978026761,550.079825543728,3476.66406571287
37001020901,3577.21921338847,1704.561418390646,770.232898896185,1102.424896101639
37001020902,3374.000000000077,2277.000000000052,779.000000000025,318
37001021000,3698.543450988065,1032.924589667647,329.699261645409,2335.919599675009
37001021101,2662.000000000054,1203.000000000053,400.999999999997,1058.000000000004
37001021102,3131.000000000083,1463.000000000059,457.00000000001097,1211.000000000013
37001021201,5245.999999999929,2414.000000000025,1309.9999999999561,1521.999999999948
37001021204,4180.72643768104,2552.415690937733,823.96398022093,804.346766522377
37001021205,4617.321315248941,2277.21860724224,485.878460050199,1854.224247956502
37001021206,4315,2439,494,1382
37001021207,3156.571679972432,1724.078632846045,479.841202477223,952.651844649164
37001021300,6017.739202920261,4012.438650118125,1217.151340399973,788.149212402163
37001021400,2624.794145832639,1547.161614805352,678.009394514655,399.623136512632
37001021500,4659.257018892215,2990.901910884292,1000.460453156805,667.894654851118
37001021600,4841.224176267219,2412.906644629734,907.223358988866,1521.094172648619
37001021701,3149.000000000004,1932.000000000006,499.999999999998,717
37001021702,4589.016867620416,2279.016867620416,734,1576
37001021703,4798.993890923576,2132.995836293515,524.998180989671,2140.99987364039
37001021801,4441.008976731171,2607.006266774533,1067.002371211993,767.000338744645
37001021802,3553,2316,771,466
37001021803,2870.601848751075,1634.943749072253,723.728929533203,511.929170145619
37001021901,4535,2784,980,771
37001021902,4422.999999999468,2893.999999999644,888.999999999896,639.999999999928
37001022001,3319,2017,674,628
