geocode,total,owned_loan,owned_clear,rented
37001020100,1020,872,115,16
37001020200,839,1194,285,41
37001020301,588,1464,398,87
37001020302,365.00000000001,996.000000000093,457.000000000076,102.00000000000199
37001020400,572.000000000012,3632.000000000143,1481.000000000099,540.000000000002
37001020501,847,517,230,77
37001020502,577,1488,469,126
37001020601,266.999999999994,92.999999999996,58,6
37001020602,539,143,59,4
37001020701,1128,607,223,24
37001020702,1452.999999999959,1153.999999999995,128,10
37001020801,363.996575404287,196.982877020967,24.988013914675,2
37001020802,1395.741784007904,1811.839164315556,349.836214116911,88
37001020901,635.636392883383,503.88554851570103,264.464025502875,11.999999999999
37001020902,217,318,254,23
37001021000,967.625247704521,1309.292410147687,176.711746465449,32
37001021101,443.000000000009,768.99999999998,244.999999999987,33.999999999998
37001021102,793.000000000011,451.000000000002,148,14
37001021201,808.999999999944,1465.000000000002,692.999999999999,296.999999999999
37001021204,581.346766522379,638.014326166502,427.014326166502,108
37001021205,1153.67692544465,987.661415545429,387.140201299544,46.973891733953
37001021206,799,919,415,115
37001021207,623.032055779902,415.32295094298,161.44314777116,23
37001021300,384.44328761704,1920.050647406987,1199.874683043532,401.440307229909
37001021400,353.623136512632,162,115,24
37001021500,568.925971221295,353.968683629823,216.981474013651,78
37001021600,1305.325341975215,499.757258107958,296.989964196924,55
37001021701,663,123,82,0
37001021702,1366,444,218,75
37001021703,1510.999873640533,588.999999999883,158.000000000005,4
37001021801,707.0003387446291,206.000000000009,112,57
37001021802,432,122,65,36
37001021803,473.960715745564,104.771981471833,47.985043436012,32.818483635766
37001021901,652,269,174,45
37001021902,527.999999999951,350.999999999899,244.999999999937,57.999999999978996
37001022001,533,255,186,41
37001022002,630.875460315519,531.927398105246,299.005298418713,100.972707259522
37003040100,554.979058218183,82.773877938732,41,22
37003040200,745.000000000012,95,45,34
37003040300,559.000000000001,99,63,24
37003040400,1768.000000000021,801.000000000006,308,155
37003040500,1527.93728799066,352,155,67
37003040600,920,47,20,10
37003040700,834,61,34,3
37005950100,743.356939814846,50,19,18
37005950200,1062.999999999979,81,28,6
37005950300,559.126974739742,15,1,2
37007920100,327,1760,772,463
37007920200,190,679.991174934206,302,183
37007920301,700.92116978824,1365.489836390679,333,335.489836390679
37007920302,132.380343924848,52,18,27
37007920400,173.999999999999,2162.441842483826,664,412
37007920501,125.682282924666,621.448382646365,167.529863021837,165.105083430021
37007920502,580.317717075334,2327.118599935603,885.4701369781629,221.894916569979
37007920600,338,2628,979,844
37007980000,2.6196560751519997,0,0,0
37009970200,473,0,0,0
37009970300,355.999569701878,4,0,2
37009970400,1145.765620711723,15,8,0
37009970501,803.999999999977,22.999999999994,12,8.999999999994
37009970502,816.234379288272,52,15,12
37009970701,524.0397835966301,10,5.999999999999999,4
37009970702,403.315058130188,6,0,6
37009970801,360.795289480286,10,6,2
37009970802,473.895899123504,25,19,3
37011930100,688.921581364165,13.009488616225001,4.009488616224,0
37011930200,564.000588189502,11.999999999999,3,0
37011930301,776.944919830524,11,5,1
37011930302,640.051806248274,22.999875124547,9,4
37011930400,570,0,0,0
37013930101,405.003925106055,696.995209745454,290.997604872727,222.998631355844
37013930102,308,1027,303,293
37013930200,933,1267,583,287
37013930300,793.984613023429,1987.93845209364,421,176.000000000001
37013930400,624.015386976595,2080.06154790638,415,191
37013930501,534,1009,368,240
37013930502,596,410,197,70
37013930600,465,61,32,9
37013930700,391,285,80,158
37013930800,238.957526167384,1069.99999999999,392.999999999997,332.999999999998
37013930900,300.00000000001,813.000000000001,299,358.000000000001
37013931001,601.973342996228,644.987165146332,276.987165146332,73
37013931002,561,798,290,209
37015960100,491,2651.000000000005,1120.000000000003,771
37015960200,216,2491,1120,480
37015960300,133.998036647416,2974.992716686712,1292.992716686712,885
37015960401,288,1795,706,393
37015960402,136.003446451973,2405.002432789628,949,630
37017950101,290,525,231,208
37017950102,442.000000000021,875.000000000009,329,324
37017950200,387.142733238087,1102.047228905606,444,339.047228905606
37017950301,409,662.751268956376,294,165
37017950302,530.000225154326,1075.223559156753,535.997711646634,321.9771164665
37017950401,467.999999999993,1892.999999999995,512.999999999995,340
37017950402,202,1133,467,301
37017950501,403,414,160,128
37017950502,766,973.916426558714,298.453943476031,242.462483082683
37017950601,320.9997988843,1688.9941676447,623.9981899587,543.99668159095
37017950602,94.952126972425,1687.141500477114,758.691734083903,547.62194849456
37019020101,367.000000000105,1118.000000000331,643.000000000166,207.00000000007
37019020102,598.999999999973,425.999999999978,215.999999999979,61.000000000001
37019020105,686.999999999972,444.999999999977,260.999999999985,42
37019020106,288,246,137,39
37019020107,885.999999999981,447.999999999992,133.999999999994,66
37019020108,387,921,460,191
37019020201,601.0000000003059,636.0000000001551,339.000000000026,39.999999999998
37019020203,369.000000000039,361.00000000003297,168.000000000012,59.000000000007
37019020204,958,275,161,32
37019020205,551.000000000199,305.000000000115,155.000000000021,22.000000000005
37019020206,406,203,93,45
37019020304,565.000000000079,86.000000000013,36.000000000008,3
37019020305,881.000000000039,388,116,108
37019020306,431.999999999987,209,47,58
37019020307,6,0,0,0
37019020308,436,8,2,0
37019020311,284.86331013681803,151.143885022803,106.143885022803,13
37019020312,87.136689863187,133.856114977207,84.856114977203,22.000000000004
37019020313,742,9,5,0
37019020314,83,2,2,0
37019020315,547,7,1,0
37019020316,75,0,0,0
37019020404,572.999999999984,501,233.999999999998,120.000000000002
37019020405,500,224,98,41
37019020406,81,4,0,3
37019020407,464,22,1,0
37019020408,710.00000000003,214.000000000006,88,44
37019020409,465,63,16,8
37019020504,74,121,49,53
37019020505,620.99999999996,1089.999999999881,455.99999999992804,391.999999999974
37019020508,231.00000000007398,112.00000000001201,31.000000000005,64.000000000005
37019020510,553,16,2,1
37019020511,482,40,6,13
37019020512,68,0,0,0
37019020513,327.000000000044,205.000000000034,47,72
37019020514,518.000000000132,109.000000000029,64.000000000021,25
37019020515,326.000000000044,263.00000000001,122.000000000005,58
37019020516,395.999999999923,112.999999999987,34,15
37019020517,437.80172552857204,95,7,19
37019020518,326.198274471514,51.000000000008,19,16
37019020601,1068.000000000191,896.000000000122,311.000000000034,248.000000000048
37019020602,939.997445217281,882.049302191496,429.999999999975,203.609325263945
37019020603,274.002554782565,802.012773912834,389.000000000007,204.010219130262
37019990100,0,0,0,0
37021000100,603,120,3,3
37021000200,684,648,80,55
37021000300,894,449,108,63
37021000400,1378.999999999997,286,48,39
37021000500,949,75,5,4
37021000600,1051,239,71,46
37021000700,390,486,231,99
37021000800,909,387,125,41
37021000900,660,1738,428,157
37021001000,1257,721,132,14
37021001100,1290,423,160,53
37021001200,1452,231,56,9
37021001300,1133.999999999984,372,60,5
37021001401,1941,388,126,25
37021001402,652,334,82,52
37021001500,941,64,19,0
37021001601,629.000000000042,32.000000000001,11,5
37021001602,1102.000000000212,71.000000000019,5,1
37021001700,306.000000000056,34,7,0
37021001801,1151.999999999924,412,74,19
37021001802,1399.999999999959,225.99999999998,51.999999999987,9
37021001900,971,129,45,6
37021002000,1630,1476,684,154
37021002101,98,8,0,0
37021002102,1512,856,333,103
37021002203,1321.767298318272,644.963240220208,229,111
37021002204,3439.000000000071,429.000000000003,39.000000000001,4
37021002205,1135.000000000072,257.000000000006,99.000000000006,9
37021002206,1442.000000000007,203.000000000003,52,6
37021002303,817.367061124502,125.986931786154,79.986931786155,8
37021002304,172,17,17,0
37021002305,636.000000000067,15.000000000004,11,0
37021002306,608.00000000005,122,78,8
37021002401,800.0011347078761,23.999996541974,5,0
37021002402,1098.999518660403,74.999999999998,23,10
37021002503,911,63,31,3
37021002504,984,42,21,3
37021002505,984.0000000000939,85,36,2
37021002506,1218,140,35,10
37021002603,675.99931156377,26.999889475575,10.999889475575001,7
37021002604,971.0052058563571,50,23,0
37021002606,756.000000000017,66,30,4
