geocode,total,owned_loan,owned_clear,rented
37001020100,402,116,7,279
37001020200,1172,521,30,621
37001020301,1054,437,174,443
37001020302,1514.0000000000819,716.000000000078,364.00000000000404,434
37001020400,1114.000000000021,366.00000000001,196,552.000000000011
37001020501,324,181,22,121
37001020502,790,327,211,252
37001020601,80,56,10,14
37001020602,102,39,5,58
37001020701,207,64,15,128
37001020702,433.999999999995,63,7.999999999996,362.999999999999
37001020801,187.00000000004601,83.000000000016,25.000000000020002,79.00000000001
37001020802,1407.985899819827,611.644049197957,29,767.34185062187
37001020901,781.449393216184,194.504932126306,254.99999999999798,331.94446108988
37001020902,371,140,169,62
37001021000,652.564706963972,285.851018675722,44,322.71368828825
37001021101,286.999999999998,125.999999999998,29,132
37001021102,220.000000000017,92.000000000014,3,125.000000000003
37001021201,986.000000000009,342.000000000004,304,340.000000000005
37001021204,426.100329587434,183.071677254396,81.02865233304,161.999999999998
37001021205,158.344152116455,46.344152116496,3,108.999999999959
37001021206,362,140,8,214
37001021207,163.335328294808,48.63727324009,33.000936716246,81.697118338472
37001021300,330.476432256471,201.944329736413,49.55168589348,78.980416626578
37001021400,36.834528050655,18.834528050655,2,16
37001021500,95.922258732385,43.940784718734,2,49.981474013651
37001021600,202.880226148935,67.87803152789,29,106.002194621045
37001021701,68,59,1,8
37001021702,95,30,4,61
37001021703,219.99999999998,91.99999999998501,6,121.999999999995
37001021801,71.000000000005,39,8,24.000000000005
37001021802,63,36,5,22
37001021803,98.970080455915,55,0,43.970080455915
37001021901,163,87,9,67
37001021902,379.999999999916,252.99999999995399,49.999999999971,76.999999999991
37001022001,214,99,34,81
37001022002,464.98671148662,275.632903081902,37.357034931224,151.996773473494
37003040100,88.998841575047,32.999338042884,35.999503532163004,20
37003040200,85.000000000004,34,14.000000000004,37
37003040300,56.999999999994,15.000000000003,11.999999999992,29.999999999999
37003040400,394.000000000021,123.000000000002,47.000000000004,224.000000000015
37003040500,522.981186397198,190,89.987457598132,242.993728799066
37003040600,208,31,60,117
37003040700,84,57,2,25
37005950100,290.033595597122,73.000553525205,47.99977102627,169.033271045647
37005950200,437.999999999988,116.999999999995,39,281.999999999993
37005950300,200.999741948634,57.9991084654,29.000633483234,114
37007920100,25,2,0,23
37007920200,28,0,8,20
37007920301,90,34,6,50
37007920302,23,0,8,15
37007920400,48,5,2,41
37007920501,1,1,0,0
37007920502,60,20,8,32
37007920600,199,36,22,141
37007980000,0,0,0,0
37009970200,73,25,13,35
37009970300,35.999913940376,11,7.999913940376,17
37009970400,215.999999999999,46.999999999999,25,144
37009970501,129,25,20,84
37009970502,304.000000000001,15.000000000001,14,275
37009970701,56.107312342701,27.035770780901,5,24.0715415618
37009970702,64.83543509622,23.83543509622,18,23
37009970801,48.999812310886,5,6.999812310886,37
37009970802,162.000000000007,48.000000000005,10,104.000000000002
37011930100,101.000529054294,13.000529054283,9,79.000000000011
37011930200,114.000068483987,0,2,112.000068483987
37011930301,172,15,8,149
37011930302,89,7,14,68
37011930400,184,26,15,143
37013930101,195.999657838961,45,33,117.999657838961
37013930102,109,13,10,86
37013930200,315,76,48,191
37013930300,199.00000000001,40,12,147.00000000001
37013930400,437,91,200,146
37013930501,853,200,297,356
37013930502,263,66,112,85
37013930600,96,43,32,21
37013930700,23,5,4,14
37013930800,47,4,4,39
37013930900,54,16,12,26
37013931001,278,98,43,137
37013931002,113.999999999994,35,33,45.999999999994
37015960100,50,15,6,29
37015960200,49,2,0,47
37015960300,72.999873864784007,3,7,62.999873864784
37015960401,22,7,1,14
37015960402,21,10,2,9
37017950101,185,36,49,100
37017950102,211.000000000005,40.000000000005,34,137
37017950200,447.000000000004,103.000000000004,103,241
37017950301,550,134,112,304
37017950302,257.999999999983,61.999999999988,20.999999999995,175
37017950401,148,25,6,117
37017950402,131,45,21,65
37017950501,100,58,9,33
37017950502,84,23,6,55
37017950601,168.9993966529,35,21.99969832645,111.99969832645
37017950602,37.00782297999,15.008998995753,13,8.998823984237
37019020101,206.00000000008,99.00000000004201,43.000000000016996,64.000000000021
37019020102,372.999999999991,87.999999999995,29,255.99999999999602
37019020105,294.99999999998,107.999999999985,60,126.999999999995
37019020106,95,42,5,48
37019020107,317,76,30,211
37019020108,218,102,21,95
37019020201,107.00000000002801,63.000000000008,0,44.00000000002
37019020203,57.000000000001,46,4,7.000000000001
37019020204,88,43,12,33
37019020205,94.000000000018,59.000000000002,2,33.000000000016
37019020206,76,29,3,44
37019020304,73.000000000002,18.000000000002,2,53
37019020305,105.000000000004,21.000000000004,3,81
37019020306,90,26,7,57
37019020307,8,8,0,0
37019020308,5,0,2,3
37019020311,25,17,0,8
37019020312,32,18,6,8
37019020313,15,1,0,14
37019020314,4,2,0,2
37019020315,35,9,1,25
37019020316,13,5,0,8
37019020404,142.999999999987,39.999999999996,24,78.999999999991
37019020405,80,29,5,46
37019020406,13,0,4,9
37019020407,57,15,6,36
37019020408,202.000000000004,52,8,142.000000000004
37019020409,70,30,3,37
37019020504,29,12,4,13
37019020505,401.99999999996,87.999999999992,42.999999999996,270.999999999972
37019020508,90.000000000014,13.000000000006,15.000000000005,62.000000000003
37019020510,154,6,10,138
