geocode,total,owned_loan,owned_clear,rented
37001020100,2511,1197,380,934
37001020200,1581,538,361,682
37001020301,1237,441,306,490
37001020302,1269.000000000069,632.000000000057,367.000000000002,270.00000000001
37001020400,1144.000000000101,553.000000000083,187.000000000006,404.000000000012
37001020501,2702,1386,487,829
37001020502,1277,545,245,487
37001020601,3005.983132379498,1911.983132379522,833.999999999982,259.999999999994
37001020602,2062,1109,437,516
37001020701,3379,1585,688,1106
37001020702,3009.999999999929,1221.999999999986,463.999999999984,1323.999999999959
37001020801,995.9845893192249,351.00000000014,307.988013914808,336.996575404277
37001020802,2387.576800850776,757.795457008981,423.079825543728,1206.701518298067
37001020901,2183.752275953799,1171.842718464391,492.232898896188,519.67665859322
37001020902,2608.000000000072,1820.0000000000489,576.000000000023,212
37001021000,1677.686333876406,538.361824526476,248.699261645409,890.625247704521
37001021101,1545.000000000067,808.000000000059,330.999999999999,406.000000000009
37001021102,2354.000000000064,1182.000000000045,428.00000000001097,744.000000000008
37001021201,2771.99999999991,1357.000000000014,711.999999999957,702.999999999939
37001021204,3039.78634987816,1891.329687516845,622.109895838936,526.346766522379
37001021205,3351.965848792901,1816.350556016323,425.938367331914,1109.676925444664
37001021206,2921,1828,363,730
37001021207,2509.913400734644,1496.998211834795,419.840265760977,593.074923138872
37001021300,3643.227621848988,2541.624888712828,732.159347276586,369.443385859574
37001021400,2391.959617781984,1403.327086754697,642.009394514655,346.623136512632
37001021500,4175.33621094228,2709.992002809473,918.418236911512,546.925971221295
37001021600,4055.586692010323,1991.038648904917,809.223358988866,1255.32468411654
37001021701,2913.000000000004,1759.000000000006,493.999999999998,660
37001021702,3844.016867620416,1871.016867620416,635,1338
37001021703,3720.993848446685,1740.995793816476,512.998180989671,1466.999873640538
37001021801,4094.008976731149,2405.006266774529,992.002371211991,697.0003387446291
37001021802,3352,2209,723,420
37001021803,2637.860470049903,1509.958705636241,683.911129124013,443.990635289649
37001021901,4040,2487,919,634
37001021902,3649.999999999658,2366.999999999757,771.999999999946,510.999999999955
37001022001,2804,1703,594,507
37001022002,3222.2647735364717,1991.9904812992909,631.3956053951559,598.878686842025
37003040100,3272.633816524981,1690.851708371908,1027.80304993489,553.979058218183
37003040200,3763.000000000059,1872.000000000023,1150.000000000024,741.000000000012
37003040300,3007,1563.999999999994,894.000000000005,549.000000000001
37003040400,5043.000000000125,2165.00000000008,1187.000000000024,1691.000000000021
37003040500,6001.781370321766,2951.939352311,1599.904730020106,1449.93728799066
37003040600,4980,2718,1384,878
37003040700,6372,4107,1451,814
37005950100,3713.322401979472,1796.658521258733,1228.816711974921,687.847168745818
37005950200,3180.999999999949,1322.99999999998,894.999999999983,962.999999999986
37005950300,2962.149875981543,1369.106724534756,1071.916176707045,521.126974739742
37007920100,1576,670,587,319
37007920200,988,480,318,190
37007920301,3668.320895044474,1854.809759617785,1123.589965638449,689.92116978824
37007920302,609.415601868484,301,191.035257943636,117.380343924848
37007920400,804.999999999999,347,287,170.999999999999
37007920501,469.697592285652,162.015309360986,182,125.682282924666
37007920502,2231.302407714348,957.984690639014,693,580.317717075334
37007920600,1551,690,575,286
37007980000,4.584398131516,0,1.964742056364,2.6196560751519997
37009970200,2785,1135,1181,469
37009970300,2366.997073972782,850.999182433572,1176.998321837332,338.999569701878
37009970400,4220.765620711629,1810.9999999999561,1327.99999999995,1081.765620711723
37009970501,3011.9999999998167,1361.999999999915,865.999999999925,783.999999999977
37009970502,2697.234379288365,1155.000000000042,797.000000000051,745.234379288272
37009970701,3281.854893305732,1782.966519807069,984.9201314638331,513.96824203483
37009970702,2417.902434846101,1303.291300521749,725.296076194164,389.315058130188
37009970801,2056.003228568939,946.655484327716,753.5524547609369,355.795289480286
37009970802,2529.809135835737,1225.702196813022,884.211039899211,419.895899123504
37011930100,2544.65721080897,1072.167914624025,824.567714820789,647.9215813641559
37011930200,2445.083445157598,1006.003916235758,934.078965635606,505.000563286234
37011930301,3203.614438813668,1341.926559774032,1137.742959209112,723.944919830524
37011930302,3008.393751527726,1188.0707471690039,1192.271198110448,628.051806248274
37011930400,3275.97930153143,1356.99681562022,1388.98248591121,530
37013930101,2273.080374260921,1137.036352437612,779.039754556215,357.004267267094
37013930102,972,404,282,286
37013930200,4474,2405,1167,902
37013930300,1711.784582327711,611.846130234061,345.953839070231,753.984613023419
37013930400,2375.21541767233,1199.15386976595,586.046160929785,590.015386976595
37013930501,2975,1657,832,486
37013930502,2785,1456,762,567
37013930600,3029,1567,1008,454
37013930700,2690,1375,935,380
37013930800,1312.943368223169,531.999999999993,554.985842055792,225.957526167384
37013930900,2991.000000000038,1686.000000000021,1027.000000000007,278.00000000001
37013931001,2051.918054395812,926.96050814256,552.984203257024,571.973342996228
37013931002,2100.999999999995,866.999999999996,676.999999999999,557
37015960100,2925.0000000001028,1312.000000000076,1124.000000000027,489
37015960200,1355,649,500,206
